Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1300.144531,-1358.004883,0.000000,0,0.000000,0
-1280.144531,-1311.004883,-31375.554688,-13729.638672,-30514.203125,-14347.693359
-1284.144531,-1299.004883,-47801.515625,-38305.410156,-48085.703125,-38753.726562
-1261.144531,-1273.004883,-544516.562500,-662707.000000,-550603.750000,-657247.875000
-1235.144531,-1266.004883,39053.218750,64200.156250,39498.937500,63171.441406
-1216.144531,-1220.004883,16479.171875,34273.132812,16495.523438,33102.296875
-1222.144531,-1210.004883,9524.933594,25375.015625,7583.136719,25753.140625
-1174.144531,-1187.004883,6485.887695,19387.687500,7023.185547,17941.095703
-1156.144531,-1192.004883,4362.953125,14656.129883,5610.613770,15789.288086
-1124.144531,-1157.004883,5288.429688,13023.449219,5282.026367,12798.767578
-1102.144531,-1109.004883,1701.532104,12016.708984,2626.939209,11729.744141
-1060.144531,-1088.004883,2665.798828,9979.572266,-81.099487,12282.048828
-1061.144531,-1105.004883,635.960571,9899.186523,1462.531006,8955.093750
-1034.144531,-1056.004883,173.260773,10156.781250,561.360352,6578.501953
-1014.144531,-1015.004883,703.722046,7354.217285,1444.202393,8895.224609
-991.144531,-984.004883,-307.277740,7758.445312,137.992676,7125.880859
-965.144531,-971.004883,2863.001465,6764.250488,-477.336792,6922.437500
-934.144531,-916.004883,1239.344116,6560.781250,157.998199,6758.697266
-896.144531,-917.004883,110.630280,6757.617188,816.618958,5986.768066
-880.144531,-885.004883,1789.536865,3091.760254,518.634583,6727.854980
-851.144531,-846.004883,636.711365,3212.560059,2223.237793,6646.672852
-851.144531,-835.004883,24.705078,4970.344727,2.979797,4686.033203
-784.144531,-810.004883,1207.193115,3794.808105,538.287598,2705.768066
-756.144531,-783.004883,-3253.822266,5469.159180,1114.110474,3729.366211
-742.144531,-757.004883,1156.398560,4032.137451,1260.489014,3011.832031
-720.144531,-723.004883,-281.516968,4486.699219,-446.840820,5299.023438
-697.144531,-694.004883,361.667023,5014.764648,136.327072,4370.465820
-657.144531,-667.004883,1525.702515,3620.582031,-1542.194824,3236.341553
-630.144531,-632.004883,1942.170532,4469.094727,-1091.917969,4309.929688
-580.144531,-611.004883,653.055908,4674.668945,1124.039307,3255.464355
-572.144531,-589.004883,-78.369812,2128.972656,-1215.943237,3012.679199
-688.144531,-578.004883,-1136.717651,3285.112793,-723.642517,4428.637695
-499.144531,-513.004883,705.971008,2832.292725,223.480804,1968.093872
-469.144531,-488.004883,543.796814,2695.027100,750.512817,5000.652344
-343.144531,-463.004883,-887.447021,4377.427246,78.284302,2945.734863
-438.144531,-437.004883,462.766418,1438.257568,213.540039,1944.375244
-388.144531,-386.004883,-406.328613,1430.879272,67.284332,2941.226074
-330.144531,-366.004883,-573.398926,3363.738281,-1450.198242,2156.938477
-323.144531,-402.004883,711.620483,2692.472656,77.698853,1436.164551
-291.144531,-308.004883,-1134.142090,2937.760742,657.562256,4078.290039
-243.144531,-280.004883,-430.138214,4262.228027,-1176.143311,5007.874023
-224.144531,-230.004883,1541.801392,2754.844971,441.301086,4655.368164
-213.144531,-207.004883,-1022.640076,4940.666992,-577.736633,4147.011230
-157.144531,-210.004883,920.938843,2722.372803,720.654602,1925.749878
-137.144531,-127.004883,524.370972,2320.371338,403.130615,1925.668335
-94.144531,-94.004883,-1406.710205,3238.136963,583.155090,2568.329590
-51.144531,265.995117,-168.812668,1015.393188,1045.866699,1841.673950
-65.144531,-62.004883,-1756.435669,388.256805,1178.993286,2421.918213
-19.144531,-21.004883,-983.775818,1616.048218,-139.599426,2727.702637
23.855469,1.995117,195.271484,3047.703125,-1408.173096,1276.059814
66.855469,75.995117,-1343.495850,944.112305,30.358185,2337.283203
85.855469,65.995117,436.151917,3709.992676,-429.422058,553.744995
108.855469,111.995117,1753.908447,886.714844,-2019.970703,2410.265625
147.855469,122.995117,203.791962,2357.919678,318.093994,2487.282715
199.855469,164.995117,2671.866699,3285.485840,252.923859,2588.054688
269.855469,204.995117,-704.241821,1598.203735,-1423.493286,1898.688354
253.855469,234.995117,-1029.119751,3003.983643,-150.095215,776.861633
278.855469,268.995117,-951.949341,1082.893311,-345.971008,1698.135986
329.855469,272.995117,-823.908813,836.754150,-1591.414429,2392.095947
346.855469,325.995117,321.103394,2971.075439,-2107.374023,1003.600830
358.855469,347.995117,-287.150116,1412.844971,-853.960266,676.646606
