Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-27.514648,146.097656,0.000000,0,0.000000,0
-77.514648,-61.902344,-21040.250000,7066.608398,-19858.662109,7139.117188
-133.514648,-101.902344,-22115.509766,13640.267578,-21825.466797,14423.716797
-181.514648,-163.902344,-28812.873047,22520.648438,-26112.191406,24961.894531
-282.514648,-208.902344,-35823.757812,41657.523438,-34156.769531,41176.390625
-344.514648,-264.902344,-59633.515625,88020.289062,-58244.304688,89029.828125
-392.514648,-369.902344,-410561.718750,715001.500000,-396836.187500,723810.625000
-442.514648,-410.902344,71639.453125,-144168.531250,68931.054688,-146028.937500
-489.514648,-463.902344,30205.203125,-68603.640625,30556.632812,-72497.359375
-607.514648,-557.902344,19164.083984,-47216.750000,18202.091797,-48324.464844
-644.514648,-619.902344,13694.783203,-37661.281250,11411.774414,-35600.523438
-682.514648,-659.902344,11089.621094,-29737.128906,8865.808594,-30452.406250
-699.514648,-699.902344,9922.817383,-26283.835938,8249.617188,-26568.259766
-826.514648,-745.902344,6374.032715,-21821.531250,6364.413086,-22863.925781
-865.514648,-831.902344,6424.247070,-20500.404297,7205.460938,-20673.835938
-911.514648,-887.902344,5157.334473,-18762.441406,5759.483398,-21361.828125
-953.514648,-931.902344,5657.010742,-17519.414062,5495.309570,-15522.740234
-1001.514648,-965.902344,2200.944580,-15312.593750,5501.199219,-15901.523438
-1085.514648,-1054.902344,3969.613037,-14440.011719,3655.304688,-15280.124023
-1114.514648,-1108.902344,2182.885986,-11346.338867,-171.547394,-13363.924805
-1165.514648,-1131.902344,2270.026855,-12483.645508,2810.502930,-12838.443359
-1197.514648,-1187.902344,4090.033447,-12434.467773,1914.209961,-12394.294922
-1255.514648,-1212.902344,2274.302002,-11595.018555,4966.098633,-12478.590820
-1283.514648,-1281.902344,4115.155762,-10518.833984,2255.797607,-9647.583984
-1331.514648,-1309.902344,1740.244263,-11067.572266,2520.084473,-9514.498047
-1358.514648,-1350.902344,801.253418,-9357.855469,1076.479858,-10775.355469
-1385.514648,-1386.902344,1906.237305,-10602.425781,574.806519,-9927.824219
-1435.514648,-1424.902344,1456.887939,-10147.701172,1533.452515,-10041.390625
-1468.514648,-1450.902344,2039.544800,-7339.363281,109.662476,-10892.666992
-1496.514648,-1483.902344,408.633911,-6546.551758,3427.950684,-7847.071289
-1520.514648,-1520.902344,2085.196289,-7659.447266,3435.918457,-5188.132324
-1562.514648,-1534.902344,1811.695068,-8057.675293,2528.248047,-7781.351562
-1596.514648,-1570.902344,1683.861572,-7205.546875,-765.640686,-6035.296875
-1594.514648,-1578.902344,1515.853516,-7181.400879,2012.356201,-8162.106934
-1601.514648,-1595.902344,830.554626,-6808.939941,1064.603394,-7093.437500
-1753.514648,-1625.902344,913.776978,-5909.294922,2798.426758,-9049.063477
-1651.514648,-1632.902344,1335.924072,-6728.303223,2824.437012,-8242.640625
-1716.514648,-1657.902344,982.459290,-5389.680664,1908.863525,-4997.948242
-1674.514648,-1656.902344,2062.480957,-6582.913086,-122.523621,-3051.531006
-1671.514648,-1689.902344,1879.552979,-5897.321289,-403.244202,-7085.666992
-1674.514648,-1661.902344,1263.028564,-4339.750000,962.824341,-5190.166992
-1660.514648,-1726.902344,-61.977264,-3639.852783,527.813416,-8263.135742
-1671.514648,-1695.902344,2570.838623,-7778.016113,2117.679199,-7215.556641
-1667.514648,-1674.902344,121.364197,-5308.820312,2044.116699,-6116.792969
-1647.514648,-1655.902344,2611.749512,-4830.193359,2316.120361,-4811.993164
-1647.514648,-1693.902344,1049.505127,-4805.696777,949.055054,-4055.768066
-1643.514648,-1644.902344,1620.179199,-4445.776855,205.627380,-5490.608398
-1626.514648,-1644.902344,1674.859131,-3890.909180,-693.807861,-4819.995117
-1600.514648,-1636.902344,1351.548950,-6297.295898,627.868347,-6875.773438
-1607.514648,-1608.902344,1810.411865,-4447.654297,3213.604004,-4561.771973
-1578.514648,-1589.902344,-126.354919,-6802.222168,1703.846191,-4391.266113
-1557.514648,-1565.902344,1796.548828,-2274.886719,4255.659180,-2540.563965
-1541.514648,-1535.902344,-1171.408691,-5060.812500,370.701782,-6551.874023
-1521.514648,-1524.902344,-528.294250,-4665.208008,-1766.158081,-3878.484375
-1464.514648,-1483.902344,704.524963,-5413.849609,1593.601318,-5162.596680
-1438.514648,-1452.902344,2160.191406,-2844.292969,1126.149658,-4478.153320
-1401.514648,-1418.902344,1579.656250,-4020.089600,596.359863,-5521.219727
-1425.514648,-1400.902344,455.623230,-4215.152344,1634.307373,-2741.442871
-1337.514648,-1369.902344,1358.155884,-3323.718994,1570.455444,-2276.662598
-1283.514648,-1296.902344,122.341614,-4669.966797,1563.567139,-3346.350586
-1263.514648,-1268.902344,496.596863,-4178.500488,1023.005127,-3336.364990
-1235.514648,-1240.902344,981.638489,-3422.873779,1242.161621,-4688.286621
-1196.514648,-1208.902344,679.489502,-2490.433105,2208.507080,-5043.694336
-1125.514648,-1141.902344,2614.941406,-3119.543945,750.197083,-3120.892334
-1076.514648,-1086.902344,-2053.139160,-3154.776611,1528.998413,-4279.364746
-1031.514648,-922.902344,1885.240234,-3109.386230,515.492065,-4235.134277
-1004.514648,-1016.902344,434.718567,-3882.874512,1201.511475,-1382.924438
-902.514648,-974.902344,1299.482910,-1991.975830,-1101.852051,-2697.279541
-863.514648,-890.902344,561.582397,-2277.801514,2519.434814,-4017.288330
-826.514648,-843.902344,51.889648,-3503.021484,1448.653809,-3477.058105
-727.514648,-803.902344,1287.407227,-4485.654785,854.679382,-5134.166992
-718.514648,-766.902344,1418.626953,-1660.111572,-268.785156,-4593.009277
-655.514648,-660.902344,2468.099609,-3312.111328,2994.353516,-1870.907837
-586.514648,-597.902344,884.042358,-4071.137207,433.469666,-3750.418457
-519.514648,-567.902344,1549.221802,-3239.315918,673.304749,-3479.486572
-481.514648,-506.902344,269.890625,-2825.317383,43.562805,-3059.022949
-391.514648,-474.902344,-12.282104,-2409.128418,1961.581421,-808.263672
-324.514648,-358.902344,1483.516357,-2863.151855,-129.756165,-3567.932373
-307.514648,-299.902344,-453.247192,-2783.563965,1702.927856,-3000.894531
-232.514648,-249.902344,1807.284912,-1291.321899,2415.319336,-3617.996094
-161.514648,-200.902344,-502.570312,-3436.274902,2022.151123,-2699.785645
-75.514648,-101.902344,753.339355,-3223.251465,-580.160889,-2908.997559
-24.514648,-58.902344,1422.055664,-3766.851562,2857.852051,-2795.606445
24.485352,5.097656,2590.379883,-2258.794189,1113.116577,-2827.706787
85.485352,70.097656,-566.818298,-2680.791504,-1297.869751,-2499.590820
174.485352,124.097656,-1199.410278,-3964.546875,463.360107,-2430.413818
238.485352,203.097656,-533.807617,-1929.081787,2799.307129,-2790.483887
293.485352,261.097656,-701.386353,-3184.144043,-869.503906,-2189.744629
448.485352,379.097656,1026.526367,-2789.631348,2461.905762,-2926.149902
390.485352,348.097656,1247.357544,-1808.862183,1803.409302,-1841.096802
668.485352,455.097656,1548.922363,-2586.975098,337.854858,-2690.494141
533.485352,515.097656,1422.769531,-2286.322266,-758.936890,-3083.036377
597.485352,564.097656,957.714478,-2503.138184,193.321350,-2517.966797
645.485352,623.097656,2149.920410,-3854.846680,2424.274414,-2988.178711
742.485352,641.097656,257.832275,-4149.843750,551.417236,-3156.738525
815.485352,773.097656,1630.344238,-493.354675,1363.175781,-1922.776123
830.485352,767.097656,-614.268799,-1963.511841,2535.399170,-651.025024
869.485352,862.097656,386.287445,-1323.293457,-65.716309,-1474.138672
914.485352,895.097656,984.900146,-1282.555542,311.793396,-3167.365234
997.485352,980.097656,1909.041748,-2330.124023,-914.655640,-5904.584961
1041.485352,1031.097656,1128.232178,-1786.519653,2751.191895,-1940.616699
1219.485352,1047.097656,-17.702942,-1127.588501,157.676086,-3166.738281
1126.485352,1104.097656,-1273.705566,-2689.074463,2263.971924,-1780.199951
1304.485352,1166.097656,432.944336,-2755.472168,726.232849,-875.571716
1223.485352,1238.097656,607.570740,-2407.729492,700.426147,-1079.264771
1205.485352,1269.097656,1798.928955,-3236.376465,-1400.441162,-1866.540771
1334.485352,1294.097656,-858.345947,-3256.948242,1849.929810,-2458.502930
1339.485352,1333.097656,525.104309,-409.556488,2184.788574,-4599.863281
1384.485352,1388.097656,437.951538,-3158.683594,2604.050293,-1219.809082
1445.485352,1226.097656,1711.153809,-4152.905273,1101.681763,-871.351990
1461.485352,1455.097656,141.893463,-1799.675293,758.861694,-250.961578
1488.485352,1479.097656,1318.503418,-2515.350098,-41.324341,112.872864
1534.485352,1201.097656,441.795837,-1138.369995,-1279.636475,-3088.603027
1571.485352,1547.097656,652.888977,-2696.380127,-337.848145,-2780.139160
1579.485352,1570.097656,666.803772,-1433.906250,1787.496948,-2712.539551
1588.485352,1588.097656,1137.747803,-3942.257324,2823.076660,-1796.418213
1635.485352,1635.097656,583.001526,-800.684448,2488.071289,-1227.292969
1658.485352,1664.097656,370.625397,-2956.537598,1355.406738,-948.695068
1666.485352,1651.097656,1136.182251,-421.016998,-2325.871338,-2340.884766
1354.485352,1687.097656,772.932129,-2297.293945,602.838135,-1274.873291
1691.485352,1688.097656,2088.041992,-2474.655518,-309.975769,-2662.873291
1731.485352,1664.097656,395.000061,-1728.868774,1296.572144,-2339.640381
1710.485352,1719.097656,610.280090,-1659.325439,1308.973511,-1764.633545
1708.485352,1748.097656,882.811279,-831.248718,1160.292969,173.897797
1715.485352,1719.097656,-139.475647,-1337.383057,-1.915588,-132.737427
1708.485352,1718.097656,1675.975708,-1533.700317,1694.303711,-1977.778442
1701.485352,1710.097656,2155.345703,-2186.781006,-292.630615,-2661.377197
1704.485352,1710.097656,-127.507935,-2381.764648,980.014526,-2645.175293
1775.485352,1701.097656,499.921143,-402.951813,1395.834717,-2590.375977
1686.485352,1687.097656,875.062744,-1475.526978,902.786438,-126.074188
1669.485352,1688.097656,85.568298,-1859.975098,1898.772949,-1895.732178
1661.485352,1666.097656,-461.962189,-3722.467773,-1345.293213,-284.767731
1644.485352,1669.097656,1598.443848,-1189.941528,1651.362549,-1704.627197
1636.485352,1638.097656,2161.798828,-1356.774658,-498.228760,-2018.098999
1605.485352,1619.097656,785.695679,-1116.985962,1866.070557,-2919.107910
1574.485352,1588.097656,727.567261,-2231.060059,376.766602,-413.764038
1552.485352,1564.097656,-668.180664,-2263.202393,2217.930908,-1869.932251
1531.485352,1535.097656,741.814331,-3137.749756,547.240967,-299.115112
1541.485352,1578.097656,59.236053,-1185.390137,1292.309570,-1797.455444
1456.485352,1475.097656,1416.322998,-1329.085815,-812.772583,376.550140
1356.485352,1428.097656,1542.780029,-1526.385498,1256.893311,-316.949341
1381.485352,1399.097656,834.487610,-2703.497070,-264.448181,-1739.733643
1352.485352,1377.097656,964.926758,-1238.050293,2827.819824,-2644.262207
1321.485352,1344.097656,1485.396729,-2545.655762,-656.401245,-1038.191895
1247.485352,1271.097656,2279.588379,-667.355957,1302.437988,-2208.541992
1221.485352,1224.097656,-1304.567017,-1980.317139,2296.193604,-1365.465576
1271.485352,1189.097656,727.870117,105.154877,-93.869141,-1401.323364
1143.485352,1157.097656,-776.372009,-1659.081543,-2613.084961,-706.080872
1055.485352,1122.097656,109.896301,-736.706421,2447.107910,-1234.222412
1012.485352,1041.097656,1815.206787,-135.199509,551.389771,-2488.345947
965.485352,991.097656,1981.684692,-832.235840,363.708313,-1794.066406
923.485352,959.097656,1040.827759,-1881.671875,103.887817,-2354.888672
853.485352,924.097656,441.452209,-2980.422363,1505.388306,-642.951416
798.485352,828.097656,160.246033,-879.202820,1280.816650,-589.885559
747.485352,752.097656,160.732971,-2203.967773,1227.265137,-941.540344
692.485352,727.097656,1141.547485,-3104.271973,-220.338257,-2107.022705
652.485352,658.097656,722.943115,-1159.174072,1009.216858,-652.127930
562.485352,616.097656,-207.029175,-872.128601,149.363342,-1166.253174
492.485352,517.097656,1118.817261,-978.829712,1910.990479,-2095.190430
437.485352,485.097656,973.809570,-2099.165527,1725.830811,-2352.748047
400.485352,438.097656,3015.482666,-147.051941,1434.895630,-254.417114
339.485352,373.097656,2269.888672,-1808.198120,84.335449,-1252.523682
227.485352,261.097656,1109.452759,-1440.995972,1027.003418,-936.492554
196.485352,226.097656,-727.860718,-3063.352783,-496.882874,-494.354858
163.485352,171.097656,1284.526733,-587.992371,983.259888,-3094.380371
83.485352,133.097656,709.991821,-144.389099,-374.530396,-2109.305420
-0.514648,75.097656,29.942245,-1876.559814,3198.375488,-28.498962
-37.514648,-42.902344,707.918823,-1455.898193,662.196045,-571.117065
-122.514648,-95.902344,1462.275146,-343.075012,539.840515,-700.125916
-173.514648,-154.902344,-667.749512,-951.789185,82.236847,114.489258
-220.514648,-195.902344,1277.782227,-1594.275146,124.193420,-2450.922119
-314.514648,-282.902344,-80.697693,-2463.359863,-408.211731,-680.332886
-346.514648,-357.902344,3415.505371,-1396.661621,717.609741,-2935.504883
-439.514648,-405.902344,-338.153625,-1330.580322,2701.233154,-1531.158691
-476.514648,-459.902344,-722.456360,-609.081726,1265.573975,-386.638702
-585.514648,-497.902344,731.453125,-1560.002686,-814.740967,186.894043
-627.514648,-602.902344,3437.090332,-2183.417480,993.726013,-1348.011719
-682.514648,-645.902344,886.950500,-1096.378906,158.435028,-815.262695
-719.514648,-698.902344,768.361328,-2449.583984,-1316.422852,-3606.830078
-771.514648,-737.902344,1518.152588,404.816040,1715.838379,-2216.462158
-845.514648,-729.902344,864.290466,-1812.102661,2432.085693,-2670.158203
-920.514648,-881.902344,1145.805176,850.661255,1636.680908,-333.689636
-954.514648,-921.902344,1023.216003,-1123.806519,648.697937,-746.409058
-1020.514648,-961.902344,1367.108398,293.190460,617.468750,254.470215
-1076.514648,-1003.902344,162.695007,-856.180298,-540.664795,-889.901733
