Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
100,1.0056112209608759,-0.0733383176169719,0.5611220960875851,1.1672155766784509
200,1.1246821835232212,0.27262627512487836,12.468218352322125,4.3389819302855415
300,0.9885909592210232,0.15954598850354015,1.1409040778976753,2.539253272082112
400,0.9221840228042958,1.248175408046147,7.781597719570421,19.865328603628775
500,0.9027638775701685,0.2894624412149321,9.723612242983148,4.606937835880362
600,1.0395967723052262,0.2507298958378022,3.959677230522618,3.990490230350226
700,1.316285026742911,0.37043073329401544,31.62850267429109,5.895588227689809
800,1.412721854219676,0.09722218685678616,41.2721854219676,1.5473391616461416
900,0.9779254083742553,0.14913671791055533,2.2074591625744655,2.373584585196648
1000,1.007609943829392,0.3982795178235488,0.7609943829391952,6.3388153993874425
