Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-526.830078,-605.690430,0.000000,0,0.000000,0
-408.830078,-464.690430,34946.250000,1748.822266,32867.117188,1293.074707
-278.830078,-348.690430,31859.355469,697.911011,33086.277344,1833.495605
-141.830078,-236.690430,32879.089844,3356.261230,36477.843750,1388.292114
56.169922,187.309570,36608.218750,3053.763672,36948.460938,1002.312683
177.169922,117.309570,39149.675781,3073.384766,36348.867188,3351.924316
292.169922,237.309570,40824.460938,4337.337402,41294.093750,4704.599609
402.169922,338.309570,45743.500000,5797.550781,46732.097656,5512.644043
508.169922,457.309570,51082.125000,7498.577148,52277.804688,6343.801758
725.169922,679.309570,55914.375000,11672.066406,56869.164062,9058.276367
818.169922,784.309570,71003.281250,15431.503906,70103.117188,12385.454102
915.169922,870.309570,93438.585938,19618.431641,91003.265625,17727.404297
1010.169922,965.309570,141813.687500,34294.156250,143640.281250,29562.666016
1190.169922,1103.309570,337159.125000,85284.250000,340351.375000,75082.617188
1263.169922,1234.309570,-696884.000000,-193419.062500,-702284.375000,-162667.906250
1344.169922,1314.309570,-160206.500000,-48556.281250,-162062.031250,-41917.656250
1399.169922,1020.309570,-87804.875000,-26662.201172,-89064.375000,-23107.794922
1467.169922,1440.309570,-59706.960938,-21619.296875,-59379.593750,-15739.744141
1565.169922,1549.309570,-43732.625000,-15363.044922,-44946.207031,-13057.376953
1597.169922,1586.309570,-33655.179688,-14213.246094,-34454.421875,-11482.274414
1606.169922,1619.309570,-28629.164062,-9190.566406,-28447.806641,-10687.005859
1813.169922,1629.309570,-23718.476562,-10775.207031,-24202.015625,-10130.937500
1666.169922,1743.309570,-19134.814453,-8085.057129,-21450.195312,-8451.236328
1673.169922,1671.309570,-16385.650391,-9225.074219,-17553.898438,-5642.856445
1685.169922,1625.309570,-15826.218750,-5119.392578,-15748.316406,-6513.366211
1657.169922,1590.309570,-13727.763672,-6844.844727,-13945.969727,-6554.829590
1606.169922,1548.309570,-12114.722656,-6985.264648,-12749.275391,-6189.567383
1523.169922,1549.309570,-13473.569336,-5035.921875,-11797.859375,-5089.767578
1164.169922,1368.309570,-10651.897461,-5375.937012,-8149.571289,-3949.790771
1408.169922,1520.309570,-9193.769531,-7478.268555,-8521.141602,-4779.208496
1332.169922,1381.309570,-7340.601562,-6282.200684,-8312.092773,-4662.847656
1203.169922,1309.309570,-6169.435547,-3679.781006,-7671.086426,-5537.761719
1128.169922,1166.309570,-6861.105469,-4089.409668,-7548.417480,-3171.206787
1025.169922,1084.309570,-6894.841797,-2349.717529,-5937.733887,-3467.573730
934.169922,998.309570,-6173.886719,-3301.752441,-3798.163330,-2771.773438
808.169922,876.309570,-7555.259766,-2866.984863,-2277.770996,-3099.750000
640.169922,693.309570,-4621.003906,-3533.408936,-3153.669434,-4217.774414
530.169922,591.309570,-3447.675293,-2376.976807,-4614.148438,-4282.041016
412.169922,469.309570,-7535.042969,-2706.363281,-4800.151855,-3943.707764
312.169922,367.309570,-3294.657471,-4081.919189,-3388.728760,-3171.599854
76.169922,252.309570,-4557.477051,-3431.357422,-4974.866699,-4048.709717
-48.830078,35.309570,-3640.189941,-2966.156738,-2672.985352,-3576.176758
-160.830078,-77.690430,-2486.676514,-2567.027832,-3670.413574,-4104.602539
-292.830078,-224.690430,-4487.641602,-61.482178,-4121.604492,-3314.782959
-410.830078,-632.690430,-4745.348633,-3404.295410,-4509.333984,-1247.161499
-615.830078,-562.690430,-2112.298340,-2490.921387,-2862.291992,-3100.324951
-722.830078,-671.690430,-1852.169312,-1237.916260,-1488.079590,-3165.253418
-815.830078,-766.690430,-1703.450684,-3215.061768,-2909.230469,-1712.921997
-916.830078,-862.690430,-2441.354736,-1775.771606,-3622.576172,-266.835205
-1146.830078,-966.690430,-2403.650635,-4977.810547,-3255.391113,-3541.623047
-1170.830078,-1143.690430,-2968.814941,-1938.900146,-2690.252441,-3176.027588
-1278.830078,-1242.690430,-2306.213867,-3626.540527,-2006.130005,-1618.053467
-1330.830078,-1291.690430,-2129.286377,-2999.143555,-1289.270874,-1285.948242
-1422.830078,-1382.690430,-2232.275391,-1305.877808,-3552.945801,-3065.108643
-1538.830078,-1506.690430,-3951.463623,-2868.076172,-2418.991943,-3072.430664
