Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
100,1.2568009836819838,0.09230405334733295,25.68009836819838,1.4690646357646049
200,0.9798816994124487,0.0086482209728998,2.0118300587551263,0.13764071167880035
300,1.0060560895770125,0.059142806005456676,0.6056089577012536,0.9412869924093464
400,1.0338374874374503,0.045068496842458304,3.3837487437450298,0.7172874050198716
500,0.9395597592835985,0.09185675964034165,6.044024071640153,1.4619457353164484
600,1.1944880145940695,-0.11252805957554098,19.44880145940695,1.7909396917986633
700,1.1758143766118265,0.2647002498158843,17.581437661182655,4.212835319585754
800,1.0713375331315085,0.21387702056191896,7.133753313150848,3.4039585036196343
900,1.0289506857373754,0.17000198016175677,2.895068573737536,2.705665547815392
1000,0.9376200940173917,0.2543383559294796,6.237990598260835,4.047920656404255
