Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
429.255859,98.640625,0.000000,0,0.000000,0
723.255859,578.640625,1076.563354,631.116089,2235.336670,-523.386353
1011.255859,847.640625,1620.097412,-1114.243164,2248.134277,1142.753662
1198.255859,1106.640625,1916.529175,1039.690430,1471.704102,-1584.208984
1584.255859,1321.640625,481.803925,836.645752,1761.330078,681.493958
1660.255859,1615.640625,858.313477,-103.922455,-210.460373,-1015.066101
1688.255859,1682.640625,-250.193787,-239.741455,17.082031,2622.058594
1689.255859,1662.640625,2060.071533,1005.928711,699.390442,196.202728
1619.255859,1648.640625,826.264648,2107.407471,584.255615,1263.801270
1321.255859,1426.640625,1126.788818,1654.117798,482.879333,-1033.716309
1104.255859,1209.640625,-653.014709,613.986633,2871.212646,493.189728
890.255859,990.640625,597.911987,1324.879272,644.041382,-307.105774
592.255859,722.640625,615.763489,541.726074,898.856323,1357.127930
-10.744141,428.640625,1819.693359,2438.164551,1090.401611,-890.020203
-316.744141,-171.359375,727.270630,13.166016,217.589111,1878.626221
-583.744141,-470.359375,127.204468,3397.376953,605.382080,2245.302979
-875.744141,-783.359375,716.448486,1844.260254,1757.804688,1822.216919
-1134.744141,-1009.359375,180.886963,2545.943359,1741.016113,3132.581543
-1548.744141,-1451.359375,1298.667969,1256.309814,855.566406,3262.791260
-1601.744141,-1456.359375,1972.879883,3917.819824,1465.540527,2041.505859
-1677.744141,-1655.359375,880.813110,2800.008789,-724.437988,4703.414062
-1690.744141,-1714.359375,401.882812,3512.822754,2593.030273,3565.835938
-1542.744141,-1669.359375,3260.503418,3975.299072,2214.644043,2326.125977
-1395.744141,-1488.359375,945.918335,3916.222656,302.808319,5150.757812
-1183.744141,-1262.359375,-73.989868,4284.355957,-405.750366,4804.625977
-974.744141,-750.359375,247.400269,6422.307129,349.059875,5540.749023
-700.744141,-848.359375,1732.327148,6112.036621,533.194885,7524.315430
-123.744141,-234.359375,1256.158203,7933.435059,2441.257324,6907.779785
192.255859,14.640625,913.448364,6401.078125,2506.961182,7399.706543
469.255859,349.640625,634.804565,9285.925781,-230.349487,8779.873047
760.255859,626.640625,1199.117676,10232.611328,4412.240234,10383.598633
1250.255859,996.640625,1063.997314,13155.921875,1871.187866,14891.726562
1473.255859,1344.640625,987.867432,16408.054688,4784.046387,17543.333984
