Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
207.268555,329.506836,0.000000,0,0.000000,0
105.268555,72.506836,122.571030,-308.390015,1802.385376,5752.184570
-69.731445,-69.493164,-2466.673340,5029.776367,1240.065674,-101.346985
-290.731445,-222.493164,-2228.955078,7532.906250,-1956.970581,4345.744629
-574.731445,-355.493164,167.431274,-100.421936,2147.662842,2574.481934
-711.731445,-648.493164,-582.302429,5490.015625,-4952.880371,2772.390137
-835.731445,-767.493164,-874.859009,3737.287598,-925.729980,765.190918
-952.731445,-895.493164,-3070.553223,2724.301758,1348.958496,4061.589355
-1072.731445,-1083.493164,-3930.361328,7787.248047,27.038452,8277.468750
-1288.731445,-1344.493164,1347.648193,7491.914062,-3492.272217,9428.625000
-1368.731445,-1411.493164,-623.571411,11996.325195,-5715.973633,8380.865234
-1448.731445,-1408.493164,-4193.685547,15699.373047,-3538.332520,10004.832031
-1529.731445,-991.493164,-2883.339111,13280.253906,1752.171631,8362.052734
-1644.731445,-1351.493164,-3905.672852,17950.351562,-4555.475586,13915.734375
-1656.731445,-1649.493164,-10607.808594,25766.484375,-5354.144043,28027.769531
-1671.731445,-1670.493164,-6399.482422,40574.335938,-9854.306641,40968.992188
-1677.731445,-1704.493164,-20591.267578,74800.710938,-8984.163086,77548.750000
-1674.731445,-1690.493164,-179953.890625,829136.625000,-132603.687500,837817.375000
-1639.731445,-1647.493164,17741.878906,-102190.421875,13548.615234,-98615.906250
-1609.731445,-1627.493164,10442.988281,-48633.515625,9239.783203,-50045.328125
-1566.731445,-1573.493164,7570.809570,-29520.232422,5376.416016,-35933.230469
-1499.731445,-1544.493164,5413.995117,-25553.617188,4399.819824,-23138.910156
-1322.731445,-1450.493164,3368.063477,-19206.171875,3771.095703,-20650.574219
-1243.731445,-1280.493164,1249.386597,-15239.366211,-737.837769,-17770.447266
-1144.731445,-1206.493164,-256.506958,-11137.752930,604.251465,-8510.232422
-1032.731445,-1064.493164,687.265137,-17727.300781,3428.054199,-18911.722656
-906.731445,-965.493164,3518.481445,-13269.649414,1808.747314,-12273.997070
-650.731445,-707.493164,2310.229492,-11554.130859,2014.995361,-7682.431152
-515.731445,-568.493164,3281.475342,-11892.599609,-1420.681030,-7572.099609
-371.731445,-428.493164,-536.483887,-7996.241211,1522.493652,-12334.469727
-229.731445,-260.493164,1753.390991,-4926.080078,5987.020020,-11291.023438
59.268555,-154.493164,-897.120605,-11502.865234,-1553.270752,-7310.674805
201.268555,240.506836,339.474976,-7323.507812,-760.220459,-5025.407227
351.268555,280.506836,3457.558350,-8435.986328,541.538208,-12734.578125
485.268555,415.506836,-935.278076,-9306.484375,-2282.550537,-6012.433594
620.268555,553.506836,-234.153809,-8259.480469,174.264893,-8222.473633
892.268555,829.506836,4786.654785,-8776.978516,509.450684,-4581.453613
906.268555,949.506836,-672.880859,-8661.672852,651.788330,-8126.451660
1109.268555,1087.506836,594.007324,-8510.783203,2486.762207,-5970.683594
1224.268555,1181.506836,5093.075195,-135.272949,4735.259277,-5855.216797
1404.268555,1285.506836,2720.070801,-8484.764648,1134.437500,-3344.299561
1493.268555,1451.506836,3360.242676,-3639.689697,-5876.318359,-3606.191406
