Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10.0,1.0014373516992612,0.00039888295738362,0.18528703946357966,0.02167046968026562
20.0,0.9992561987477255,0.0041879814676321,0.14434616909075876,0.06665379521509063
30.0,0.9980644073975246,0.0051517785080603,0.19355926024753112,0.08199310152723958
40.0,0.9995376214466815,0.008732322627729341,0.13908162550239073,0.13897923108763421
50.0,1.000540729671269,0.010067642520928722,0.10836785852258883,0.1602315072487964
60.0,1.000621846517876,0.01192840590595226,0.21485954978717187,0.18984647631388726
70.0,1.001018906522328,0.01526744506156022,0.21373433210347237,0.24298893499312638
80.0,1.0012779447768463,0.016421973438422603,0.16638681014327078,0.2613638248048777
90.0,0.999144018111593,0.0205651779644274,0.12061428249185983,0.3273049728603154
100.0,0.9998992311660168,0.020451434040328696,0.1828050396304381,0.32549468208361726
