Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10.0,1.0012693850782195,0.004078569531862121,0.19306904699077027,0.06491245017398621
20.0,1.0014109643762226,0.0068963165083394205,0.3148226399296971,0.10975828614284644
30.0,0.9992192211038707,0.00962025951221494,0.2289137582526357,0.1531111855195845
40.0,1.0000694336433118,0.016392175578636377,0.2603020763979824,0.2608895771370238
50.0,1.00058726246062,0.01736241311928328,0.16313799533932194,0.2763313871937516
60.0,1.000970766371998,0.018295541786568996,0.15051056325638296,0.29118259118767875
70.0,0.9996418786279214,0.024077537741259918,0.11982677308040254,0.38320591490031913
80.0,0.9982975187441079,0.02407904110567276,0.17879544998619318,0.3832298416880766
90.0,0.9995542864760131,0.028667011113010177,0.20597459353606462,0.45624965223058717
100.0,1.002590748281334,0.030836271044404402,0.3340676217624372,0.49077449632384484
