Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1190.355469,-1208.105469,0.000000,0,0.000000,0
-1153.355469,-1155.105469,-4860.307617,-6176.346680,-13058.644531,-6794.692383
-1541.355469,-1106.105469,-11440.337891,-10395.693359,-9758.556641,-12417.843750
-1043.355469,-1043.105469,-12725.928711,-20171.406250,-11129.705078,-23233.730469
-938.355469,-1096.105469,-14358.144531,-32722.462891,-17522.466797,-31394.648438
-900.355469,-920.105469,-18476.439453,-55634.390625,-20853.738281,-55624.351562
-836.355469,-856.105469,-35264.046875,-110006.367188,-33882.632812,-110445.593750
-799.355469,-834.105469,-179957.625000,-786594.812500,-200074.296875,-784831.812500
-727.355469,-766.105469,37600.648438,190624.093750,37743.578125,186407.906250
-615.355469,-659.105469,12928.888672,91082.046875,15017.871094,89521.351562
-568.355469,-615.105469,7103.322754,64179.390625,7928.001953,60307.781250
-512.355469,-548.105469,5916.403809,43416.847656,5796.826172,48107.773438
-459.355469,-439.105469,2848.912109,36466.867188,3918.794922,38578.265625
-335.355469,-947.105469,400.689209,30370.664062,-538.021851,32109.447266
-286.355469,-293.105469,4348.890625,27821.550781,4959.069336,29093.335938
-212.355469,-239.105469,4909.691895,23177.056641,3733.839844,25953.097656
-170.355469,-185.105469,-487.838135,22785.074219,3228.753418,22580.625000
-121.355469,-126.105469,-1422.408447,21701.939453,-2230.419922,20720.792969
-1.355469,1.894531,2004.864258,21613.732422,2073.236328,17712.597656
90.644531,67.894531,-1395.445557,20987.285156,2312.305176,18565.873047
142.644531,257.894531,625.516846,17556.185547,260.429565,15618.486328
202.644531,188.894531,102.946472,16372.671875,2445.791016,15965.476562
336.644531,238.894531,1288.975586,11866.953125,-1786.798950,14832.030273
364.644531,366.894531,1508.322998,11785.521484,2210.336914,15891.246094
442.644531,417.894531,-137.332764,12941.903320,-2168.546875,14430.679688
592.644531,481.894531,-1370.315063,15045.313477,-2968.337402,10916.025391
548.644531,528.894531,215.674194,11610.767578,499.055908,11519.125977
673.644531,654.894531,-658.556641,10555.978516,-3170.014160,10009.794922
728.644531,692.894531,2070.839844,8886.477539,3260.690430,9919.445312
782.644531,760.894531,2664.307861,12376.912109,437.348633,11051.398438
802.644531,748.894531,-225.061768,10096.022461,-4798.231445,8710.849609
938.644531,867.894531,-440.512512,11634.166016,1373.706299,10095.412109
989.644531,955.894531,-1877.811768,12906.285156,2930.732178,11564.755859
1019.644531,1025.894531,-1601.188721,8818.416016,1128.050659,6221.128906
1083.644531,1078.894531,-624.379639,9211.363281,1421.579834,8625.736328
1148.644531,1121.894531,-784.712891,11282.007812,1979.006714,9507.402344
1212.644531,1202.894531,-1072.816406,7583.325195,2914.307617,8732.597656
1262.644531,1262.894531,-1550.292358,8071.408691,-205.134888,10950.470703
1308.644531,1295.894531,-2875.334229,11290.076172,318.576782,6106.614258
1298.644531,1336.894531,-792.491821,6788.712891,-440.214172,6172.089844
1406.644531,1358.894531,-585.479248,9335.770508,-278.278442,10435.930664
1467.644531,1441.894531,-529.783447,8105.444336,998.728027,8107.132812
1488.644531,1494.894531,-183.213684,6796.442871,380.827148,8269.860352
1542.644531,1500.894531,-1761.169800,6890.714355,-3596.685791,8140.758789
1653.644531,1537.894531,-2920.715576,8066.739746,-155.494385,4714.304688
1593.644531,1568.894531,-308.446533,4531.081055,4365.965820,7112.517578
1626.644531,1613.894531,34.499878,4538.843750,-1843.030273,6210.702148
1602.644531,1627.894531,917.692505,7559.015625,-618.139221,3599.301270
1649.644531,1644.894531,1940.471924,9259.824219,686.993591,6382.541992
1668.644531,1661.894531,-2931.948486,3910.611328,-236.085327,6647.161621
1691.644531,1679.894531,-2609.263916,4073.683350,2856.630859,6077.020508
1698.644531,1688.894531,-2189.959473,4927.409668,-336.657410,4284.137695
1670.644531,1706.894531,-1200.906860,5451.124023,2771.922852,4613.145020
1707.644531,1698.894531,-494.181152,6771.322266,1297.705688,8311.701172
1693.644531,1868.894531,42.110352,8762.843750,1295.930664,6657.100586
1705.644531,1714.894531,-745.363770,5514.705078,-373.209473,5133.774414
1681.644531,1713.894531,2076.921875,4828.029297,-975.135620,3120.458008
1686.644531,1697.894531,-185.721069,4652.747559,958.322937,4102.315430
1666.644531,1691.894531,-3396.932617,2735.006592,633.741516,4606.443359
1658.644531,1658.894531,-3495.098145,4560.887695,1024.983765,6645.180664
1482.644531,1884.894531,-475.599976,3791.248047,-4282.725098,4562.663086
1612.644531,1631.894531,305.280762,4157.315430,-347.872192,6563.997070
1578.644531,1627.894531,1358.797119,8428.787109,546.505615,6610.569336
1578.644531,1571.894531,-247.759277,10570.707031,-2285.165527,5297.804688
1524.644531,1539.894531,-1648.855835,5897.405273,-2846.274658,975.030457
1461.644531,1660.894531,-3100.511475,4887.416992,135.023193,2899.019287
1469.644531,1487.894531,1545.768433,6142.203125,286.755310,5725.232422
1398.644531,1458.894531,950.164307,4524.633301,420.001801,4654.147461
1371.644531,1377.894531,-1736.366333,4141.725098,-976.809570,5038.942383
1323.644531,1360.894531,-2065.236084,6781.521484,-3637.469727,2126.857422
1288.644531,1329.894531,-3346.848633,5375.613281,-2033.122803,6418.366211
1247.644531,1272.894531,-4247.468750,5550.493164,-1003.891724,4354.302734
1158.644531,1187.894531,-3015.167236,3564.609131,-567.460205,4174.270508
1115.644531,1121.894531,-2260.481934,5098.927734,-2816.410156,2918.871826
1076.644531,1104.894531,-3606.038574,1999.305908,-948.712280,5144.626465
1013.644531,1041.894531,1100.701904,4102.201172,-171.984497,6231.396484
