Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10,0.99999795518683,0.0053161662667197416,0.00020448131700101513,0.08460941396468341
20,1.0024697469309287,0.004452557921249329,0.2469746930928718,0.07086466025698047
30,0.9999947877336021,0.014848210283512062,0.0005212266397935927,0.23631660626888573
40,0.9936992478151616,0.014720624211457744,0.6300752184838387,0.2342860108651734
50,1.002940330479535,0.01781482609255631,0.2940330479535014,0.2835317632952812
60,1.0005586338449335,0.013782156180053583,0.05586338449334871,0.2193498282520042
70,0.9987007541108843,0.02146825113472949,0.12992458891156744,0.3416778287630389
80,0.9963475964023433,0.025633432655904037,0.3652403597656728,0.40796875156003387
90,1.005787161709405,0.027180994693216665,0.5787161709404964,0.43259896635800077
100,1.003809264046878,0.03101665197925509,0.38092640468780914,0.4936453480659467
