Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1591.090820,-1596.897461,0.000000,0,0.000000,0
-1571.090820,-1565.897461,-30464.902344,-3700.702881,-29936.375000,-4631.143555
-1557.090820,-1534.897461,-31489.109375,-8430.236328,-30956.750000,-8760.185547
-1522.090820,-1228.897461,-35347.203125,-14196.179688,-31464.312500,-16843.585938
-1491.090820,-1517.897461,-41304.695312,-26193.525391,-40456.710938,-24948.574219
-1445.090820,-1452.897461,-54813.683594,-42223.335938,-54333.312500,-42833.757812
-1415.090820,-1785.897461,-91968.750000,-85533.750000,-94033.007812,-85039.664062
-1389.090820,-1389.897461,-542158.000000,-613735.125000,-555857.375000,-600528.250000
-1341.090820,-1356.897461,112246.460938,149061.078125,115713.328125,145794.875000
-1272.090820,-1349.897461,47053.207031,71496.453125,48802.937500,66967.703125
-1239.090820,-1242.897461,29260.064453,44288.000000,27241.630859,46410.574219
-1188.090820,-1219.897461,18616.468750,35181.617188,17731.125000,34980.058594
-1139.090820,-1163.897461,15616.720703,27610.757812,15097.381836,29222.410156
-1074.090820,-1119.897461,12576.710938,28993.558594,13660.080078,25166.242188
-1026.090820,-1061.897461,9903.345703,20559.570312,11258.474609,24476.300781
-968.090820,-1065.897461,7130.802246,18679.472656,9895.604492,19550.453125
-915.090820,-930.897461,8369.449219,15997.800781,6706.505859,17602.564453
-901.090820,-888.897461,6036.595215,17530.359375,4200.109375,17061.648438
-756.090820,-778.897461,5402.896973,12608.152344,5258.945801,14424.283203
-765.090820,-716.897461,5965.462891,13299.759766,1262.924927,11415.478516
-647.090820,-577.897461,3489.929443,13582.761719,3546.802734,10748.467773
-595.090820,-620.897461,6908.835938,15260.509766,4717.267578,14075.466797
-487.090820,-558.897461,-984.250854,10866.711914,3167.480469,11985.062500
-416.090820,-445.897461,4403.633789,9661.675781,503.059875,11110.261719
-372.090820,-379.897461,628.600830,11319.181641,3370.069824,9534.144531
-310.090820,-323.897461,4763.276367,10741.171875,3039.218750,10511.871094
-535.090820,-268.897461,1847.000000,12034.101562,2718.246338,9558.789062
-108.090820,-139.897461,-1174.505127,7018.342285,4109.653320,10506.161133
-69.090820,-87.897461,-85.558777,9388.089844,-1064.947144,7033.708984
-0.090820,-75.897461,-632.432739,8519.934570,1734.858032,8761.500000
56.909180,41.102539,646.496094,8471.075195,1257.295166,10285.982422
184.909180,88.102539,1079.112549,5037.909668,810.059082,8618.893555
216.909180,225.102539,158.311157,7061.407227,-3517.151367,6963.868164
301.909180,276.102539,2357.119873,7139.755371,3775.610107,6437.019043
365.909180,339.102539,1377.104126,6871.387695,2000.671875,7030.880371
417.909180,400.102539,-2537.952637,4589.575195,1533.449707,7681.591309
455.909180,515.102539,631.290161,5757.666016,-695.654419,8097.064453
499.909180,595.102539,2373.831543,7775.961914,1047.755371,5889.334961
663.909180,627.102539,1534.237671,4860.367188,1259.071899,6359.023438
724.909180,690.102539,-661.189270,6847.023438,597.459839,4235.632812
809.909180,737.102539,-353.990540,4501.508789,-288.603882,9033.900391
861.909180,845.102539,747.960815,5529.024414,-1082.621094,5399.352051
905.909180,904.102539,711.255981,4779.659180,1843.252441,3184.825928
984.909180,963.102539,-1446.396362,7072.928711,1187.368164,4737.433105
1020.909180,1002.102539,-68.426117,3850.436035,2842.783447,8528.750000
1114.909180,1082.102539,1525.533447,8440.883789,1584.708496,6762.511719
1165.909180,1124.102539,113.889160,4672.032227,423.416565,5439.282227
1212.909180,1206.102539,-337.580566,5160.275391,-1067.163208,5434.736816
1048.909180,1238.102539,-3973.178955,4904.399902,1818.431274,3449.550537
1340.909180,1299.102539,2292.181641,3968.015137,-1641.220459,4058.372070
1373.909180,1363.102539,-710.121826,5930.454102,-2605.037109,2485.299805
1406.909180,1639.102539,-203.905518,4946.169434,1137.207275,3895.524414
1439.909180,1379.102539,-2596.045410,5978.122559,1471.961182,4294.135742
1479.909180,1468.102539,379.267670,1717.460571,-314.549316,6858.861816
1543.909180,1525.102539,693.937317,3672.841797,965.147461,3994.447021
1556.909180,1549.102539,-1115.533081,4236.065918,824.388611,5302.291992
1584.909180,1516.102539,1255.175903,2258.636719,-214.637207,4226.293945
1610.909180,1625.102539,47.281982,3731.337402,3078.985107,3876.098633
1652.909180,1630.102539,4218.476074,3871.791260,-1206.248413,2832.629395
1645.909180,1665.102539,-1562.318237,1558.791504,-1331.208130,1513.997070
1693.909180,1681.102539,-385.869812,5534.983398,1583.706299,2338.017334
1687.909180,1689.102539,30.980530,3694.978760,1959.402344,5377.662109
1737.909180,1693.102539,4486.095703,3768.311523,-1747.317383,7329.979492
1714.909180,1722.102539,-1529.807617,5016.237793,3241.283203,3000.478027
1678.909180,1734.102539,-1908.010742,4344.343262,611.463806,2912.377441
1724.909180,1740.102539,392.161255,5468.776367,-1060.837402,2383.215820
1616.909180,1811.102539,-1486.275269,2843.522461,211.027344,3981.106934
1711.909180,1743.102539,-963.643555,4875.329102,1111.921387,2608.193848
1695.909180,1747.102539,1800.162476,3558.037109,-3902.840332,4227.696289
1688.909180,1697.102539,-1253.284668,3493.398438,-1049.549438,1133.527710
1680.909180,1697.102539,259.184631,4917.379883,742.345703,1371.853027
1677.909180,1690.102539,-852.902832,4657.718750,10.904663,667.846924
1630.909180,1652.102539,-1161.891357,1987.531494,-799.144653,5835.894531
1632.909180,1625.102539,-1979.512451,2536.519043,-347.661987,4491.857422
1586.909180,1590.102539,96.923828,2640.062744,459.693054,5206.912598
1563.909180,1588.102539,380.889648,1872.012085,-640.239197,1864.726318
1508.909180,1620.102539,-2400.170166,2967.045410,1329.715210,2426.247559
1398.909180,1500.102539,121.186829,3870.072754,-774.894775,4876.424316
1460.909180,1461.102539,-755.218506,2415.256836,-190.775574,2888.413574
1402.909180,1427.102539,-2854.095947,820.754211,-2016.066040,2372.752441
1370.909180,1395.102539,-170.648438,4250.577148,-122.090820,2587.577637
1293.909180,1324.102539,78.315918,660.993774,1373.563721,1420.385742
1233.909180,1283.102539,278.843689,2363.205078,2471.017578,879.958191
1213.909180,1193.102539,-2870.680420,6088.087891,-1732.894653,5964.036621
1159.909180,1201.102539,-426.877441,1973.796631,-1396.577148,4934.100586
1069.909180,1155.102539,-74.885681,3671.079102,-318.658752,1914.014038
1016.909180,1046.102539,-1771.567627,808.235107,-1976.880371,562.307495
972.909180,1001.102539,-1968.467529,4480.019531,451.739777,92.255066
916.909180,963.102539,145.804260,2579.411133,2181.270264,449.597565
908.909180,890.102539,-1980.595703,1347.401855,-271.325073,3299.942871
765.909180,787.102539,-102.344788,2246.310303,-1436.263428,3375.625488
717.909180,743.102539,-1459.620850,3381.115479,-782.617920,2028.590698
653.909180,684.102539,-1073.064453,1816.103271,-3516.645020,2380.329590
599.909180,625.102539,3397.540283,579.460876,3556.193848,1742.757324
456.909180,558.102539,65.356033,2563.324463,2197.806885,2333.692383
410.909180,450.102539,775.667847,3345.180908,-387.434692,6085.151367
346.909180,396.102539,-186.397400,5312.881348,-3951.875000,4093.729980
294.909180,285.102539,660.525513,347.799530,467.921265,-1235.306641
232.909180,270.102539,785.202881,2142.336426,-1079.527222,895.346985
135.909180,159.102539,-346.707886,2681.302490,1666.203369,142.514648
42.909180,100.102539,1846.438843,4636.761719,-2485.200684,1508.144775
0.909180,32.102539,-289.850342,1265.228516,-2647.306396,1470.699707
-73.090820,-594.897461,1705.228271,2175.727051,1035.784668,3504.655029
-210.090820,-76.897461,-1539.574707,2753.126465,3891.103271,23.228271
-247.090820,-209.897461,-587.772949,2584.446777,22.880859,5103.533203
-313.090820,-267.897461,-1482.316650,1117.074097,-3969.227051,2435.338379
-373.090820,-326.897461,521.977539,1121.852783,-468.652771,-370.177734
-423.090820,-395.897461,-4380.767578,2627.834473,983.256226,-805.791870
-545.090820,-519.897461,-381.489502,3382.691406,-591.990662,1252.487793
-594.090820,-563.897461,-3493.508301,1297.390137,-88.957031,138.265747
-646.090820,-613.897461,-2164.746094,-1725.995117,2183.104248,242.519897
-708.090820,-671.897461,-1429.995483,2348.119141,-914.908142,3752.793457
-827.090820,-726.897461,-3093.164551,2553.635742,-1671.367310,1749.805176
-889.090820,-844.897461,737.497314,389.858093,-1977.699463,3225.464111
-916.090820,-903.897461,-2949.064453,972.639832,-1627.364136,2.273376
-971.090820,-936.897461,1764.808594,1173.837158,-583.111206,916.331848
-1011.090820,-984.897461,-1892.454102,155.925293,920.414062,2332.913818
-1115.090820,-1086.897461,1158.202515,1228.046509,-174.327026,2933.479980
-1164.090820,-1123.897461,-598.432495,-1984.450928,-2680.985596,-2172.562012
-1188.090820,-1171.897461,2287.616699,2383.254395,-644.848145,-180.591125
-1255.090820,-1307.897461,-1191.556641,4031.663330,1657.013062,1673.051880
-1323.090820,-1258.897461,-964.945374,3196.009766,3268.420166,920.294434
-1364.090820,-1335.897461,-2188.846191,3526.200439,-2490.805176,4819.796875
-1384.090820,-1375.897461,511.922668,-1232.771240,-3694.305420,895.296326
-1416.090820,-1395.897461,631.894897,5272.572266,-2488.018799,-796.237915
-1442.090820,-1420.897461,-663.766724,382.107056,2341.970459,-771.570068
-1496.090820,-1541.897461,-694.931641,3011.741211,753.351440,1901.703003
-1523.090820,-1519.897461,-1844.181641,1315.176514,572.974365,31.287231
-1560.090820,-1569.897461,0.973389,4733.384766,-2266.792480,2299.890381
-1572.090820,-1322.897461,-949.140625,1546.951172,-2827.115723,-872.939148
-1618.090820,-1579.897461,-561.191040,848.166504,-1378.651855,872.647705
-1687.090820,-1611.897461,-2572.469238,1181.201050,-1662.162354,950.519653
-1389.090820,-1639.897461,3171.903564,4260.219727,-3306.445312,3471.922119
