Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1203.025391,-1246.100586,0.000000,0,0.000000,0
-1005.025391,-1200.100586,-15686.117188,-7834.895020,-13937.072266,-7561.236328
-1122.025391,-1156.100586,-14223.894531,-11797.523438,-15493.585938,-14072.997070
-1082.025391,-1116.100586,-19018.021484,-24414.832031,-19266.320312,-25340.753906
-994.025391,-1065.100586,-19405.699219,-42977.214844,-25344.447266,-42464.179688
-978.025391,-992.100586,-38892.824219,-98088.687500,-42818.464844,-99086.046875
-951.025391,-939.100586,-267129.375000,-780006.437500,-279509.750000,-773576.250000
-888.025391,-897.100586,46632.140625,154315.312500,46536.398438,153941.437500
-835.025391,-834.100586,19451.166016,75942.710938,21473.636719,79359.218750
-744.025391,-771.100586,7656.924805,50994.289062,12247.322266,48835.480469
-696.025391,-718.100586,9159.832031,41125.226562,6997.317383,40249.406250
-714.025391,-670.100586,5237.940430,35170.289062,3252.916260,29798.125000
-589.025391,-628.100586,2462.450684,26984.095703,1985.864868,26531.361328
-493.025391,-576.100586,3953.272949,25363.996094,7511.527832,20943.625000
-440.025391,194.899414,5061.157227,23767.023438,6324.356445,17071.839844
-406.025391,-431.100586,1437.551514,18323.898438,1296.169678,21628.935547
-349.025391,-372.100586,2559.276855,17617.669922,1464.475708,15313.333008
-275.025391,-259.100586,-1463.092041,16215.246094,-176.872192,17098.359375
-249.025391,-201.100586,2982.745605,13839.757812,3704.808594,11324.242188
-33.025391,-177.100586,1141.608643,12690.595703,625.529724,13401.138672
-88.025391,-115.100586,550.744995,15184.414062,-366.619507,11821.511719
-40.025391,-36.100586,-3338.804688,12098.459961,-147.281982,12796.250000
80.974609,67.899414,3660.527344,11581.226562,428.098267,12246.848633
132.974609,92.899414,-1877.891357,12023.599609,-1632.579102,10040.182617
168.974609,153.899414,-1434.870605,11575.739258,-2804.021729,13661.021484
648.974609,198.899414,-210.502563,11552.577148,-268.644592,8187.149414
264.974609,226.899414,825.817139,11355.667969,-2856.091797,9928.548828
380.974609,368.899414,-208.021606,10060.691406,-658.426575,9151.927734
416.974609,394.899414,-74.826477,9021.832031,2616.123047,9085.585938
487.974609,442.899414,-1591.424683,8730.208984,-742.246338,5628.855469
524.974609,661.899414,-949.960938,6134.699219,2491.232422,12694.575195
423.974609,543.899414,1711.464600,7588.226562,-478.405762,4894.479492
598.974609,644.899414,1735.282349,9376.314453,-16.156128,8749.572266
716.974609,699.899414,-7.174316,10263.335938,1634.749756,6224.999023
770.974609,759.899414,-402.226135,8479.658203,1894.929443,4610.780273
813.974609,786.899414,-3543.516357,8819.034180,-1878.295166,10149.888672
906.974609,879.899414,-211.110962,8693.150391,-91.009155,5567.166016
957.974609,935.899414,-10.037354,5903.323730,153.252197,7068.055176
998.974609,963.899414,29.493042,3886.176758,-2383.324951,6308.012695
1028.974609,995.899414,2149.016602,6146.862793,-273.046143,9173.148438
1118.974609,1055.899414,1598.961182,10243.993164,-794.818848,5701.697754
1159.974609,1133.899414,-946.098022,8219.839844,-4688.159180,7130.369141
1194.974609,1182.899414,-715.516663,6272.167969,542.104736,6925.087891
1248.974609,1231.899414,1598.740479,4381.993164,-3521.926514,7014.770020
1249.974609,1250.899414,-2579.324219,3226.056641,254.747314,9885.111328
1331.974609,1291.899414,-763.115601,3701.761719,-2573.324707,5311.654297
1374.974609,1325.899414,-386.983154,8207.518555,-852.380615,4270.486328
1364.974609,1374.899414,-351.452026,7353.807617,-2877.332275,7629.891602
1424.974609,1404.899414,6066.863770,7501.453125,3746.801025,4171.762695
1482.974609,1432.899414,3682.900879,4641.313477,-939.692627,6046.885742
1509.974609,1501.899414,-2317.783203,4863.320801,2714.968018,7402.457031
1538.974609,1023.899414,-3149.577393,86.460693,-440.252563,6066.994141
1548.974609,1538.899414,3002.898926,4823.610352,-1847.554932,4873.057617
1671.974609,1563.899414,-4494.286133,3579.509277,1080.696899,5852.057129
1394.974609,1605.899414,373.944824,5001.199219,-2625.590332,4750.976562
1640.974609,1633.899414,12.327576,2488.903809,465.540863,6076.035156
1658.974609,1638.899414,910.147339,4009.228516,-2604.431396,5577.217285
1657.974609,1648.899414,-3212.194580,4749.105469,3.718567,2879.581299
1687.974609,1666.899414,-1457.044922,5955.470215,-2076.597656,6734.181641
1696.974609,1680.899414,-1351.924072,2759.317627,30.376343,8083.146973
1709.974609,1712.899414,913.149475,490.371216,-3185.427246,6038.442871
1801.974609,1699.899414,-103.473572,899.593628,-3905.487793,3921.404053
1703.974609,1711.899414,-735.406494,5297.556641,-2173.262207,3358.961182
1716.974609,1760.899414,285.488037,4572.216309,-1642.644653,2296.024902
1718.974609,1700.899414,-1093.624512,3495.412109,2540.518799,5700.536133
1705.974609,1990.899414,-3963.984619,5092.800781,118.462158,1920.644287
1703.974609,1715.899414,-1610.338501,4665.525391,-472.977478,4507.977539
1688.974609,1664.899414,494.703125,1990.038452,-199.277649,4520.845703
1673.974609,1686.899414,2629.343018,4038.988281,278.556274,4774.083984
1670.974609,1677.899414,-1402.968262,5879.064453,807.590027,1064.507568
1662.974609,1637.899414,-851.095459,4242.888184,2071.627197,3486.290039
1699.974609,1643.899414,-2987.104980,1888.565796,290.114014,4359.011719
