Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
279.299805,300.537109,0.000000,0,0.000000,0
235.299805,265.537109,-101649.914062,5611.406738,-100805.750000,3973.727051
215.299805,231.537109,-112968.429688,8654.128906,-112598.195312,10009.497070
152.299805,179.537109,-140701.734375,14287.416016,-137620.031250,16850.457031
37.299805,109.537109,-208725.078125,32714.128906,-209472.718750,35195.683594
14.299805,27.537109,-594897.875000,112871.375000,-592777.875000,121371.460938
-45.700195,-10.462891,488579.875000,-109876.078125,484704.406250,-119458.046875
-89.700195,-62.462891,154639.781250,-41620.882812,155995.250000,-43969.199219
-127.700195,-95.462891,88163.843750,-25461.675781,87413.906250,-29460.605469
-238.700195,-208.462891,55918.046875,-21101.933594,57007.964844,-22033.347656
-270.700195,-237.462891,43680.652344,-14653.201172,43632.457031,-16428.273438
-307.700195,-294.462891,30165.699219,-14031.463867,30384.746094,-13433.345703
-367.700195,-307.462891,25768.101562,-12208.498047,25941.525391,-14508.601562
-426.700195,-386.462891,22811.609375,-10153.911133,21107.042969,-11662.740234
-767.700195,-482.462891,18633.101562,-7884.750488,19711.335938,-8985.339844
-536.700195,-513.462891,16237.470703,-9368.491211,15496.187500,-11133.144531
-438.700195,-598.462891,12154.382812,-9578.094727,12778.822266,-9513.115234
-597.700195,-596.462891,10032.113281,-9249.433594,11924.093750,-6573.403320
-675.700195,-688.462891,9148.171875,-6109.782227,10550.288086,-6366.170898
-747.700195,-717.462891,9785.708984,-6168.215820,9869.027344,-6640.314453
-781.700195,-783.462891,9646.550781,-5586.075684,7444.862305,-7176.075195
-823.700195,-797.462891,8775.337891,-5162.084961,8544.072266,-5626.604492
-907.700195,-829.462891,6526.795410,-3941.269043,7414.661133,-5616.341797
-942.700195,-919.462891,6830.692871,-5900.509766,5524.909180,-6380.957031
-1000.700195,-978.462891,6840.692383,-6053.565430,6482.529297,-5219.751953
-986.700195,-960.462891,6867.547852,-4109.384277,5990.737305,-3938.277344
-1020.700195,-1031.462891,3388.231201,-4013.924805,4931.502930,-4327.480469
-1079.700195,-1088.462891,4380.272461,-3530.497314,3750.438232,-4943.688965
-1150.700195,-1109.462891,4614.458984,-3290.904541,3997.262207,-4339.450195
-1166.700195,-1155.462891,4441.680664,-3441.327637,4943.812500,-3931.198730
-1205.700195,-1181.462891,3721.830078,-3489.260742,2649.910156,-2743.991699
-1248.700195,-1204.462891,2768.972168,-1695.779053,3477.559082,-4626.677246
-1283.700195,-1215.462891,3269.446045,-4330.132324,3969.801514,-4294.670898
-1309.700195,-1314.462891,4013.476074,-1656.687988,4209.293945,-2470.801025
-1343.700195,-1312.462891,558.678528,-4774.400391,1970.194214,-4171.411133
-1362.700195,-1357.462891,3860.886230,-2097.007568,2566.645020,-4136.989746
-1432.700195,-1394.462891,2726.036865,-2857.437988,4849.090820,-2581.083496
-1412.700195,-1427.462891,2955.863770,-2471.568359,998.595398,-2349.848145
-1449.700195,-1469.462891,2344.457031,-3576.578369,2819.209473,-4687.678711
-1486.700195,-1469.462891,1285.874023,-2636.066895,2124.254639,-4427.243164
-1504.700195,-1483.462891,2220.347656,-4205.367676,2752.614258,-2092.808350
-1475.700195,-1503.462891,1047.455566,-3346.701660,1236.733887,-3580.615234
-1528.700195,-1513.462891,4715.253906,-2432.716553,3522.613525,-2672.569824
-1572.700195,-1515.462891,1363.083496,-3047.487305,2565.603516,-2471.836914
-1555.700195,-1549.462891,2071.265381,-2893.053223,1455.075928,-2639.092285
-1580.700195,-1558.462891,3154.387207,-2148.699951,1158.506104,-3997.195312
-1581.700195,-1576.462891,1231.878418,-3668.317871,1130.238403,-3669.713135
-1582.700195,-1581.462891,276.810791,-2329.221191,3006.429199,-1098.440430
-1592.700195,-1587.462891,2712.405029,-3673.744629,926.328613,-1708.155518
-1589.700195,-1592.462891,3146.332031,-1936.533203,1366.191162,-2088.217773
-1596.700195,-1591.462891,1920.689941,-1186.387207,843.001282,-4281.093750
-1584.700195,-1609.462891,1591.337524,-1486.946289,737.132690,-1160.554810
-1588.700195,-1597.462891,2178.455566,-3368.395020,1818.253662,-2536.145508
-1588.700195,-1610.462891,1068.456543,-1678.910645,2706.108154,-2703.633301
-1582.700195,-1585.462891,769.113647,-829.113037,1238.942627,-2156.104004
-1577.700195,-1561.462891,2413.136719,-4199.526855,878.713196,-3570.772217
-1557.700195,-1556.462891,1650.288208,-1081.410034,1479.603638,-1516.203979
-1561.700195,-1559.462891,2022.331055,-1228.500244,931.248169,-2388.417725
-1543.700195,-1547.462891,1315.986206,-1781.907471,2194.034668,-1501.429810
-1523.700195,-1520.462891,1084.997559,-1904.360107,1522.239258,-2157.836182
-1504.700195,-1507.462891,1580.057861,-2148.887207,71.019165,-17.055176
-1495.700195,-1486.462891,623.104858,-2450.883301,739.138000,-2636.830566
-1486.700195,-1473.462891,275.496155,-3686.438232,959.911560,-1156.221436
-1427.700195,-1444.462891,1441.342407,898.330505,895.009766,-1132.169678
-1428.700195,-1424.462891,161.242584,-1933.754150,1080.804932,-2573.802002
-1390.700195,-1414.462891,2700.136475,-865.830444,873.700562,-742.380005
-1367.700195,-1380.462891,556.126221,-887.190918,1256.593018,-1968.329590
-1438.700195,-1430.462891,1094.249023,-1442.685547,282.784668,-1302.585693
-1304.700195,-1342.462891,880.778809,-2218.781006,2023.688965,-1769.445801
-1265.700195,-1288.462891,457.862732,-952.526978,1165.195679,-1264.364990
-1250.700195,-1261.462891,238.154663,-2761.556152,1464.744141,-850.875610
-1214.700195,-1229.462891,-1486.869385,-662.809937,1004.588074,-2276.363770
-1195.700195,-1178.462891,23.346741,-3081.302979,-1344.857910,-1962.361572
-1123.700195,-1149.462891,1825.148193,-2204.879883,1009.551086,-1903.523438
-1101.700195,-1118.462891,1158.156006,-2813.261475,2074.766602,-1460.937500
-1042.700195,-1067.462891,51.931641,-1467.330078,1179.228271,-1875.320190
-974.700195,-1050.462891,-142.888550,-1365.983765,-1071.315063,-1911.344238
-943.700195,-974.462891,714.639526,-1859.404907,286.984314,-1289.698364
