Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10,0.9997363551384846,-0.0010614051859504324,0.026364486151542188,0.016892788196738368
20,0.9979108225164232,0.0005519847353033846,0.20891774835768429,0.00878510991348051
30,0.9983144500092943,0.00649074526637777,0.16855499907056926,0.10330341934943431
40,0.9979263790508671,0.0076301008903816876,0.20736209491328816,0.12143682729941176
50,1.0009659493543315,0.00982762100586885,0.09659493543314746,0.15641144619177721
60,0.9984863215021867,0.010386435939854497,0.15136784978132534,0.1653052620935159
70,1.0050924434551998,0.015075625281051643,0.5092443455199769,0.23993602836805128
80,1.0022068042843773,0.01665625647549218,0.22068042843772506,0.26509255514809715
90,1.0001168770122788,0.019602100472828742,0.011687701227880432,0.3119771185234673
100,1.0005393293630969,0.020214084204669597,0.05393293630968632,0.321717142124897
