Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10,0.9991891785866215,0.0022386371889272566,0.08108214133785152,0.035629017440711806
20,0.9984620964558868,0.003847003243070723,0.1537903544113206,0.061226958222525774
30,0.9981347527657892,0.004209872134660683,0.18652472342107762,0.0670021960016077
40,0.9984874558085861,0.009522177135980185,0.15125441914138893,0.15155015601878732
50,0.9982992063322376,0.011166747477014448,0.17007936677624347,0.17772430592258004
60,0.9982300163343705,0.011285586997033591,0.17699836656295265,0.17961569562715152
70,0.9987497624361281,0.016113349251460997,0.1250237563871881,0.25645191831361097
80,1.0000537956076805,0.015246377353660736,0.005379560768048464,0.24265363200794365
90,1.000667547201543,0.018852456502767213,0.06675472015429396,0.3000461641840348
100,0.9994990091674318,0.02371599840360527,0.050099083256816,0.37745183762932777
