Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1286.930664,-1334.377930,0.000000,0,0.000000,0
-1282.930664,-1297.377930,297473.750000,-537066.250000,296923.625000,-536478.375000
-1291.930664,-1299.377930,-125460.781250,437869.343750,-123238.187500,438836.562500
-1268.930664,-1283.377930,-37237.648438,200936.687500,-35820.656250,196862.875000
-1552.930664,-1244.377930,-20398.453125,132272.375000,-18007.453125,131087.093750
-1248.930664,-1225.377930,-12272.737305,102116.679688,-13223.452148,101605.398438
-1235.930664,-1238.377930,-9560.476562,81475.687500,-8036.575195,82796.414062
-1238.930664,-1249.377930,-4806.067383,70992.812500,-6513.149902,67276.937500
-1218.930664,-1179.377930,-3203.560547,61106.253906,-4240.970703,59417.851562
-1189.930664,-1231.377930,-7306.923828,51924.855469,-4541.924805,51079.039062
-1178.930664,-1187.377930,-5597.938477,47380.695312,-1970.606323,48920.156250
-1203.930664,-1196.377930,-2375.980713,41919.710938,-2627.450195,43325.507812
-1155.930664,-1192.377930,-2712.239990,39233.863281,-1583.356567,40484.378906
-1161.930664,-1000.377930,-3989.973145,35986.378906,-2750.561279,36000.390625
-1153.930664,-1157.377930,-3343.805664,33256.785156,-2385.130615,32910.511719
-1146.930664,-1144.377930,-2821.554443,29070.271484,-4812.047363,32465.382812
-1137.930664,-1174.377930,-5005.508789,29013.048828,-2787.178711,30111.763672
-1104.930664,-905.377930,-3540.312012,26987.671875,-1978.399658,28393.419922
-1123.930664,-1110.377930,-3566.433105,27036.355469,-4017.274414,23210.843750
-1092.930664,-1094.377930,-1389.148071,27465.160156,-2888.613770,25462.681641
-1073.930664,-1085.377930,427.648804,22049.847656,-3681.355469,21950.345703
-1056.930664,-1083.377930,-1819.184814,23224.179688,-618.525757,23613.570312
-1054.930664,-1074.377930,-1313.512085,22977.222656,-1682.357056,20857.933594
-1042.930664,-1062.377930,-2324.266602,18660.152344,-876.655518,20784.312500
-1056.930664,-1005.377930,-418.370483,18529.814453,-2655.970215,19869.927734
-1127.930664,-1005.377930,-1196.121338,19433.550781,-2992.142578,16652.666016
-1008.930664,-1019.377930,-222.300537,17532.863281,-3299.111816,16681.492188
-976.930664,-1003.377930,-3742.019775,15163.199219,-522.449341,17488.500000
-981.930664,-964.377930,-2332.644531,16231.365234,-2006.774414,16133.202148
-977.930664,-980.377930,-677.063232,18628.359375,-1589.715698,16689.423828
-955.930664,-967.377930,-3740.720215,17051.824219,-1347.484497,14305.750000
-943.930664,-964.377930,-2409.089355,16846.882812,-3073.060547,15503.155273
-943.930664,-955.377930,-3915.069824,14495.803711,-1678.442139,14332.559570
-931.930664,-933.377930,-1677.165894,13202.158203,-449.291382,14424.609375
-909.930664,-920.377930,-2178.866455,13710.422852,-649.898865,12734.577148
-911.930664,-918.377930,-2075.258057,14146.611328,-573.513062,14879.900391
-875.930664,-935.377930,-3096.054688,14218.544922,-1561.966553,12556.159180
-870.930664,-885.377930,85.846741,14489.742188,-3085.715820,14116.121094
-1026.930664,-698.377930,1.754395,12081.036133,-724.469238,13081.790039
-851.930664,-863.377930,231.010986,13908.276367,-3361.521973,11951.583984
-821.930664,-856.377930,-3719.163330,12592.423828,-1781.997070,13276.452148
-831.930664,-837.377930,-4109.440918,9125.895508,-3717.853271,11979.350586
-809.930664,-821.377930,-2500.340820,9541.269531,-2720.828125,11943.169922
-800.930664,-826.377930,-1073.095459,9921.244141,-1054.360229,11509.446289
-784.930664,-801.377930,-4123.834961,9832.972656,-1728.917725,9035.661133
-773.930664,-779.377930,-1938.644531,8790.375000,-1681.632812,11705.356445
-761.930664,-759.377930,-1257.166870,9458.380859,-1479.078369,8191.854004
-746.930664,-764.377930,-1025.110229,9727.287109,-2290.434814,11950.201172
-739.930664,-742.377930,-1624.138428,13435.591797,-1342.670776,9480.245117
-721.930664,-742.377930,-2971.997070,8708.871094,-1197.408691,8769.384766
-713.930664,-726.377930,-985.174744,8271.949219,-3315.115479,9856.826172
-647.930664,-715.377930,-1755.841187,9067.306641,127.276001,8156.049805
-686.930664,-702.377930,746.582764,9110.018555,-1597.681641,9187.089844
-837.930664,-555.377930,-1450.181641,10886.900391,-1765.262695,9487.521484
-642.930664,-667.377930,-1016.464111,7721.783203,-1076.439453,9671.134766
-640.930664,-653.377930,253.552246,8603.231445,-2787.401855,9042.925781
-624.930664,-652.377930,1220.241455,9139.630859,-763.558472,10016.821289
-621.930664,-635.377930,-1803.340820,9871.115234,-1177.108643,7640.399902
