Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10,1.0025323900679666,-0.002207503258873542,0.25323900679665723,0.035133505554119204
20,0.99934973631938,0.005736404451661324,0.06502636806200446,0.09129771240562531
30,0.9975208857882911,0.00767393249589956,0.2479114211708877,0.12213442896759409
40,1.0011747268329974,0.011505942257318335,0.11747268329973526,0.18312275851821333
50,1.0017032924413927,0.013043065188874065,0.17032924413926676,0.20758682978791332
60,1.0032663837535836,0.015391238099082974,0.3266383753583568,0.2449591623773362
70,1.0026983182404758,0.01498237276820416,0.2698318240475839,0.23845186853050956
80,1.0017978825348404,0.015980821616848842,0.1797882534840367,0.2543426754991308
90,0.9984102603188282,0.023060570703921143,0.158973968117182,0.3670203818049198
100,0.9967163523723905,0.019091600347559662,0.3283647627609465,0.30385225668490673
