Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10,1.0038745981862913,0.0007637376164271595,0.38745981862913226,0.012155261687960437
20,0.9998914023888241,0.0075342219881596026,0.010859761117587574,0.1199108671767248
30,0.9993270386626453,0.0056508063708659625,0.06729613373547272,0.08993537663784919
40,0.9984485434483086,0.0054231616305702775,0.15514565516914214,0.08631229806915629
50,1.0003791005687432,0.0062629975499513876,0.03791005687432403,0.0996787018647193
60,1.001776645304492,0.009089846675432013,0.17766453044920638,0.1446694030342436
70,0.9997356258124646,0.014043546806332777,0.02643741875354433,0.22350998927702617
80,0.9994944020183014,0.01820016196705817,0.050559798169858006,0.2896645742130421
90,0.9997282831353946,0.019239070594436265,0.02717168646053647,0.3061993185598461
100,1.0015007252272288,0.019694661974466045,0.1500725227228772,0.31345028057602586
