Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
2.0,0.2000418174596758,0.0009291549049771201,0.0041817459675819,0.01478795960251902
4.0,0.20038439683523296,0.0013107830964845,0.03843968352329696,0.02086176091268094
6.0,0.20057951608475527,0.00198609164784362,0.05795160847553048,0.03160963031878428
8.0,0.20031579981867412,0.0033932904166264397,0.03157998186741118,0.054005894315245696
10.0,0.1999396119749593,0.00353656706187924,0.0060388025040714,0.05628621294740638
12.0,0.20029070341326935,0.00371261749511364,0.029070341326935523,0.05908814261567872
14.0,0.2001809906535032,0.00495035280922222,0.01809906535032102,0.07878731196365668
16.0,0.19957374128433136,0.00411588881325154,0.04262587156686148,0.06550640498456187
18.0,0.19938226590579913,0.00580280534081382,0.061773409420089465,0.09235451537905702
20.0,0.20064477632251076,0.0062482085505126805,0.0644776322510765,0.09944332762831423
