Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10.0,1.0012227148055923,-0.00010482331120189999,0.16328285118780922,0.014354900861331598
20.0,0.9994469078101463,0.0033076651891676004,0.15036469810150382,0.05452028834413012
30.0,0.9993825957456082,0.005632861948781159,0.06446484486139377,0.08964978229027756
40.0,0.9988367662211524,0.00772336169714484,0.16251458421514758,0.12292111913872165
50.0,0.9998166129079793,0.0107792599311369,0.1984147250182566,0.1715572500912848
60.0,1.000602773898573,0.012253851445868762,0.13372435607713168,0.19502610295237927
70.0,1.0006190407295001,0.015336973995546663,0.18343616670592805,0.24409552234631127
80.0,0.999123958008623,0.01657351498786676,0.1401087857665972,0.2637756834726619
90.0,0.9996366589968145,0.01940817316325792,0.10802121115480061,0.30889066953159683
100.0,0.999840906180791,0.0208029807334999,0.09130893789558445,0.33108972147819804
