Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1542.935547,616.681641,0.000000,0,0.000000,0
1037.935547,1331.681641,-2810.500977,1458.155029,-1808.749756,-405.220184
225.935547,627.681641,-479.235596,-604.473755,-704.380615,871.108826
-583.064453,-207.318359,-2938.285645,-1368.592529,-1871.386475,-656.102844
-1658.064453,-1009.318359,-429.666199,585.470215,644.293091,764.254333
-1581.064453,-1688.318359,-2177.053223,-755.835754,-470.259979,21.623932
-1116.064453,-1369.318359,-2206.190918,-975.509155,377.925964,-87.715820
-320.064453,-718.318359,-3376.482666,2362.441406,-2044.958130,25.654877
529.935547,116.681641,-2351.665527,1491.054688,1561.774780,991.229431
1672.935547,1519.681641,-2424.566406,1217.632690,-1754.607910,2228.828613
1620.935547,1692.681641,-4963.844727,2877.329346,1927.879883,-2075.739258
1195.935547,1441.681641,-16554.539062,17388.074219,13256.813477,-18403.773438
404.935547,783.681641,297.399719,-1777.380859,-3341.667969,2401.730469
-1196.064453,-37.318359,-588.950317,-1315.391357,-3172.707275,3626.249512
-1632.064453,-1403.318359,-601.245300,-837.840881,-1530.344360,494.433228
-1648.064453,-1628.318359,346.680359,-171.208893,-1072.725220,1114.491455
-1225.064453,-1473.318359,-1988.253906,-669.830872,-2532.125732,-838.646423
-490.064453,-873.318359,-354.729126,-381.266296,-2071.352539,2075.601318
1124.935547,785.681641,-2170.591309,-106.178810,707.233826,1755.935059
1620.935547,1406.681641,-34.631531,9.194794,-1708.269531,1054.619263
1661.935547,1688.681641,-1040.064819,197.006226,-1848.269043,-962.249023
1283.935547,1524.681641,-22.221191,186.958862,-2586.115967,-37.497925
-276.064453,945.681641,-2765.542969,1873.458740,109.841919,2044.221802
-1082.064453,-716.318359,-1455.095703,1367.649658,-2680.718994,601.368408
-1584.064453,-1379.318359,-2455.817871,-1147.822510,-2749.508545,696.762634
-1678.064453,-1707.318359,-1293.640015,-186.441986,-191.153809,72.974182
-1340.064453,-1575.318359,-44.650146,229.890686,-528.307312,901.248291
196.935547,-216.318359,-1389.763306,1112.987549,-1194.255615,2040.326538
1006.935547,612.681641,127.436462,-534.926392,-741.532349,2001.267700
1579.935547,1342.681641,-2613.017090,1157.661011,-1800.342529,3674.239990
1688.935547,1671.681641,-692.493591,1174.538452,-2003.261475,247.446533
731.935547,1592.681641,-2398.033203,1200.816772,-2222.466553,3852.385742
-110.064453,306.681641,-951.572937,897.837280,-2107.989746,947.881714
-933.064453,-549.318359,-2888.912354,1919.671387,-1781.171265,2521.496582
-1515.064453,-1262.318359,-994.837463,1778.641357,-1827.914062,695.971252
-1685.064453,-1630.318359,-863.271790,609.541748,648.400269,1079.582886
-800.064453,-1263.318359,-1062.256836,-32.261047,-3878.666260,2248.874512
27.935547,-385.318359,-2326.513428,2853.507568,-1074.153931,2023.343262
783.935547,468.681641,-1782.048340,1995.633301,-742.088989,2746.555664
1479.935547,1036.681641,-943.430786,1530.060303,104.652649,805.528748
1486.935547,1648.681641,-2182.452393,1433.849609,-2564.383057,3010.220703
