Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1691.552734,1552.755859,0.000000,0,0.000000,0
1668.552734,1682.755859,-9954.732422,69.915100,-9728.484375,1290.161499
1543.552734,1615.755859,-10328.775391,164.094849,-9250.810547,-2400.465332
1462.552734,1554.755859,-6507.950195,944.710205,-8257.484375,-396.539368
1110.552734,1395.755859,-8295.739258,2921.461914,-7836.753418,232.546936
901.552734,1076.755859,-8469.817383,2003.172363,-8859.307617,-513.462158
699.552734,806.755859,-6817.411133,987.541016,-8341.111328,3096.345215
418.552734,594.755859,-7979.623535,1776.946777,-8217.913086,1769.827637
247.552734,321.755859,-8518.429688,1550.052856,-6248.254883,-651.956787
-332.447266,-194.244141,-11079.436523,2602.826904,-7862.422852,3190.184082
-585.447266,-460.244141,-13322.482422,1927.627563,-10012.152344,2228.799561
-811.447266,-685.244141,-10075.245117,3409.856201,-6390.819336,1641.754883
-1031.447266,-918.244141,-7504.178223,3430.842041,-7911.785645,3688.282959
-1336.447266,-944.244141,-6930.867188,3772.613770,-9537.941406,5000.282227
-1522.447266,-1458.244141,-6791.520508,5439.778320,-10295.636719,4488.498535
-1615.447266,-1604.244141,-11489.851562,3774.998291,-11443.619141,3876.358398
-1655.447266,-1642.244141,-10395.436523,3174.166016,-9860.265625,2655.208008
-1702.447266,-1667.244141,-14146.243164,6314.218750,-9274.489258,6255.467773
-1577.447266,-1651.244141,-14288.704102,5138.472656,-12329.653320,7828.941406
-1447.447266,-1549.244141,-13934.076172,8648.464844,-12676.209961,4514.143555
-1459.447266,-1434.244141,-15623.130859,9251.480469,-12024.458008,5607.843750
-1199.447266,-1315.244141,-13823.179688,5475.435547,-14697.861328,8583.994141
-761.447266,-1099.244141,-16864.117188,8198.759766,-15391.181641,11399.052734
-530.447266,-616.244141,-18102.082031,11517.429688,-18784.794922,12325.191406
-280.447266,-394.244141,-23422.960938,13105.060547,-19629.240234,14776.292969
75.552734,-150.244141,-25463.019531,12386.622070,-24869.666016,15700.689453
239.552734,85.755859,-28794.140625,18250.845703,-28658.783203,22190.689453
751.552734,628.755859,-36790.078125,26633.472656,-33801.468750,28508.876953
952.552734,936.755859,-50258.585938,35862.531250,-45104.851562,39664.468750
1173.552734,1081.755859,-74313.359375,55366.242188,-71013.578125,63925.625000
1339.552734,1261.755859,-174579.500000,130910.421875,-160586.765625,146669.406250
1601.552734,1426.755859,633577.187500,-489783.562500,586512.500000,-546343.437500
