Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1652.364258,1465.708008,0.000000,0,0.000000,0
1691.364258,1673.708008,4660.087402,-569.275635,8851.821289,846.970703
1698.364258,1706.708008,6257.041992,1877.672852,7196.977539,868.769287
1680.364258,1706.708008,4702.825684,5118.425293,5783.599609,6080.676758
1641.364258,1660.708008,6212.285156,3924.530762,6836.897461,5364.053223
1498.364258,1609.708008,8389.587891,8204.677734,6768.751953,5150.940430
1457.364258,1514.708008,6911.328125,8465.177734,6719.159180,8343.249023
1377.364258,1428.708008,7672.140625,9618.667969,11511.750000,10124.980469
1276.364258,1324.708008,6664.113281,11865.037109,9315.685547,10400.572266
1035.364258,1091.708008,6126.087891,14841.656250,11313.562500,12630.859375
869.364258,951.708008,6609.051270,18459.605469,8359.981445,16119.571289
730.364258,815.708008,9160.964844,18526.546875,9702.281250,22426.830078
555.364258,623.708008,9914.916992,22902.371094,10596.369141,21747.171875
210.364258,442.708008,7685.797852,28031.744141,12713.377930,29210.439453
40.364258,121.708008,10174.710938,33818.007812,15138.992188,31824.365234
-125.635742,-55.291992,11645.357422,42382.359375,14030.660156,39507.210938
-306.635742,-223.291992,12091.459961,52995.625000,18358.984375,51160.886719
-468.635742,-378.291992,16735.070312,69264.156250,20733.296875,71447.218750
-789.635742,-711.291992,20152.902344,99660.171875,28948.949219,99000.945312
-942.635742,-867.291992,35183.304688,169454.406250,44534.921875,170424.468750
-1108.635742,-1013.291992,90415.132812,509661.687500,121495.546875,500814.562500
-1205.635742,-1151.291992,-93776.250000,-576199.000000,-131301.125000,-568936.062500
-1421.635742,-1274.291992,-27858.457031,-189726.437500,-39624.765625,-185893.625000
-1528.635742,-1465.291992,-16630.697266,-115435.937500,-20603.736328,-113619.718750
-1605.635742,-1547.291992,-10897.904297,-84632.460938,-15195.902344,-82926.562500
-1643.635742,-1617.291992,-9068.628906,-65223.226562,-12733.355469,-64914.250000
-1635.635742,-1655.291992,-4787.096680,-55471.484375,-9926.125000,-56131.007812
-1695.635742,-1691.291992,-2848.474609,-45655.265625,-8775.597656,-45764.039062
-1682.635742,-1685.291992,-4360.963867,-43423.789062,-2966.920166,-41533.570312
-1675.635742,-1652.291992,-3145.607910,-38712.390625,-4096.007812,-36816.183594
-1647.635742,-1618.291992,-3810.998047,-35206.835938,-3046.774170,-35129.074219
-1460.635742,-1566.291992,302.993530,-29719.234375,-4797.647461,-32046.972656
-1332.635742,-1396.291992,-3693.712158,-28233.781250,-3554.324219,-27376.535156
-1236.635742,-1347.291992,1680.816406,-27672.937500,-1913.387817,-24800.136719
-1093.635742,-1145.291992,-2549.838867,-24377.593750,-1295.531006,-24393.220703
-932.635742,-1020.291992,-1368.204590,-24810.029297,-1360.719482,-25203.160156
-647.635742,-726.291992,-262.264160,-22866.347656,-2664.178711,-23512.269531
-493.635742,-565.291992,212.844482,-20278.703125,-2528.044434,-20374.195312
-314.635742,-408.291992,2084.311523,-19778.003906,266.348511,-17593.144531
-68.635742,-222.291992,-731.700317,-18560.267578,-258.209595,-19449.953125
189.364258,-63.291992,1184.638550,-20205.460938,32.080322,-18175.212891
347.364258,285.708008,-453.780029,-15955.506836,-424.138428,-20718.642578
514.364258,497.708008,-1669.248535,-17134.462891,-1866.083862,-18125.058594
703.364258,612.708008,1657.358032,-14895.456055,-842.496704,-13526.191406
843.364258,769.708008,-995.515015,-15180.718750,1044.176514,-15125.789062
1124.364258,1064.708008,956.128052,-15979.526367,1215.447632,-14931.988281
1254.364258,1194.708008,-1423.890625,-15564.828125,185.155273,-15186.815430
1353.364258,1320.708008,2019.208984,-15029.798828,-2069.751953,-15354.629883
1455.364258,1418.708008,1431.477051,-12982.632812,1276.197388,-13306.642578
1622.364258,1499.708008,1283.198364,-13934.547852,2715.919922,-13931.062500
1643.364258,1515.708008,2151.300537,-12697.906250,1022.227661,-11926.049805
1675.364258,1681.708008,-554.971436,-12605.142578,-688.861328,-11934.913086
1693.364258,1645.708008,1816.755737,-11923.529297,713.512085,-11700.585938
1680.364258,1685.708008,-497.124512,-10953.417969,655.766479,-11438.491211
1606.364258,1643.708008,1986.863281,-11036.640625,2898.038574,-9993.890625
1557.364258,1599.708008,1274.594482,-11204.916992,-816.004883,-11071.255859
1461.364258,1499.708008,2058.416504,-11474.939453,413.249268,-12480.714844
1384.364258,1418.708008,77.003540,-10609.487305,317.063721,-12056.609375
1141.364258,1324.708008,923.381958,-10259.259766,-327.792236,-10990.597656
1010.364258,1069.708008,2488.906494,-9642.734375,-652.457764,-6731.190430
860.364258,947.708008,762.772583,-10259.941406,1722.683960,-9524.864258
715.364258,783.708008,122.066528,-10618.399414,-960.607910,-10182.299805
552.364258,639.708008,1225.818726,-11638.967773,-232.991211,-10452.848633
189.364258,298.708008,-122.988647,-9787.052734,-1695.005981,-11917.632812
44.364258,128.708008,2333.836426,-8711.189453,-395.833252,-9478.431641
-138.635742,-57.291992,1469.932251,-8912.353516,1810.814331,-10741.431641
-307.635742,-241.291992,1934.536621,-8170.746094,1251.002441,-6385.981934
-641.635742,-398.291992,392.695190,-9367.175781,777.683716,-9329.935547
-806.635742,-725.291992,-496.877563,-9629.349609,1812.603882,-9633.341797
-933.635742,-859.291992,890.739014,-6774.168945,248.213135,-9187.399414
-1080.635742,-1018.291992,605.597534,-8443.517578,934.337891,-8623.791016
-1201.635742,-1167.291992,3170.000977,-7516.952637,408.745361,-8465.055664
-1428.635742,-1381.291992,262.964233,-8382.835938,1693.002319,-8569.648438
-1521.635742,-1461.291992,313.587158,-8388.212891,2644.609863,-9511.481445
-1594.635742,-1520.291992,1507.530273,-9758.013672,1307.602051,-6333.500488
-1649.635742,-1623.291992,873.003418,-6212.131836,4034.468506,-6301.418945
-1700.635742,-1664.291992,3359.207031,-5229.059082,1491.258301,-7543.934082
-1713.635742,-1701.291992,-202.347778,-6775.753418,-269.359985,-6793.000977
-1678.635742,-1676.291992,2215.584229,-8931.267578,512.009521,-6168.052734
-1636.635742,-1634.291992,-97.187256,-8367.155273,172.843018,-9696.678711
-1595.635742,-1621.291992,1202.512207,-7283.313965,1774.380371,-5228.922852
-1443.635742,-1451.291992,3350.035645,-5739.680664,2208.242676,-6468.562500
-1332.635742,-1364.291992,1525.932495,-7239.565918,443.606750,-5879.832031
-1235.635742,-1306.291992,2772.358398,-5751.458984,2334.418945,-7547.501953
-1107.635742,-1157.291992,757.764404,-8254.979492,-318.291626,-6742.448242
-815.635742,-1038.291992,1240.237793,-5355.095215,-139.229736,-3590.544922
-667.635742,-726.291992,418.659180,-7675.233398,-1388.781128,-6204.599121
-441.635742,-576.291992,1490.699707,-5333.664062,2355.505859,-7323.125000
-315.635742,-407.291992,1973.980347,-7111.895996,-44.974243,-9165.696289
-148.635742,-229.291992,84.889771,-6987.549805,894.923706,-6105.596680
190.364258,121.708008,1825.128540,-7290.577637,1060.740479,-6412.986328
363.364258,300.708008,1562.443115,-5972.697266,3169.396240,-4925.494141
565.364258,451.708008,2501.463379,-5160.419922,2414.822266,-6554.766113
692.364258,623.708008,-2967.934570,-6096.077148,5540.649902,-7831.260254
980.364258,785.708008,1220.544678,-6459.651367,-1032.623535,-8091.186523
1146.364258,1067.708008,2936.127686,-6694.513672,-351.424805,-5602.599121
1258.364258,1200.708008,-14.487976,-6131.353516,824.543213,-4847.288574
1250.364258,1321.708008,2184.532959,-4415.365723,3085.257080,-4412.027344
1468.364258,1391.708008,2442.913086,-4409.991699,679.275513,-6535.350586
1600.364258,1548.708008,1310.982788,-6886.736328,741.186279,-3881.982422
1643.364258,1633.708008,2149.510742,-5467.356445,-148.459595,-5631.235840
1686.364258,1668.708008,-233.021606,-5228.255371,2016.495361,-4278.668457
1680.364258,1692.708008,3950.320312,-5296.736816,1980.175415,-6413.479980
1658.364258,1689.708008,1272.383057,-4745.805176,1249.682495,-6723.678711
