Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000,0.9995932552739512,0.19166731215377114,0.04067447260488466,3.0504800158409986
2000,0.9490388830114956,0.4135020631962323,5.096111698850436,6.581089733637765
3000,1.0118865389577358,0.6180238275841176,1.1886538957735837,9.836154710858557
4000,0.9984007700862398,0.8807444278528361,0.15992299137601584,14.017482929342206
5000,0.9853075921952354,1.0082076557564545,1.4692407804764551,16.046123207673173
6000,1.0128233213361804,1.2752263103481078,1.282332133618036,20.295857085274076
7000,1.039326773025157,1.4469995509127416,3.932677302515697,23.02971311795155
8000,0.0,0.0,0.0,0.0
9000,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0
