Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000,1.0009418847001434,0.20107966639637206,0.09418847001434472,3.2002822862251894
2000,1.1064181928134453,0.40958089165402567,10.641819281344533,6.51868235027242
3000,1.0349285199274099,0.6039177769929539,3.4928519927409862,9.611649942949752
4000,1.014485109431851,0.8042526092799942,1.4485109431850995,12.80007782614658
5000,1.00693783856049,1.0630693291757929,0.6937838560489906,16.919273858771266
6000,0.9775919866400721,1.258110546926519,2.2408013359927925,20.023451249940347
7000,0.9625988146314224,1.5228326501964176,3.7401185368577616,24.2366343780491
8000,0.0,0.0,0.0,0.0
9000,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0
