Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000,0.989537709009927,0.18705684274141735,1.0462290990073009,2.977102116145989
2000,0.9879352904763481,0.3370450314083267,1.2064709523651906,5.3642382793198315
3000,1.010347289804946,0.4992258116497666,1.0347289804945925,7.945425564312386
4000,1.0148766923566013,0.6463298248341771,1.4876692356601273,10.286658649007814
5000,0.9870661941795523,0.8044260870240346,1.2933805820447675,12.802838810194627
6000,1.0477519789180847,1.0205899564624206,4.775197891808469,16.243193644093648
7000,1.0402697078587846,1.1210329208267147,4.026970785878459,17.8417930718317
8000,0.9906096092572321,1.2821527652480305,0.9390390742767929,20.406095038816655
9000,1.0203845526298418,1.413874929389199,2.0384552629841846,22.50251839259955
10000,0.0,0.0,0.0,0.0
