Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
802.950195,-1663.911133,0.000000,0,0.000000,0
1398.950195,1661.088867,-609.543945,512.161011,-4465.699219,-133.952805
-1017.049805,280.088867,-1730.189941,1110.994995,-3070.042236,-2368.555420
-1262.049805,-1583.911133,553.880127,-3926.406494,-1915.863525,1008.098999
1064.950195,-15.911133,2429.481934,741.407837,-882.083191,-5492.049805
-1380.049805,-248.911133,-1245.292847,4304.335938,-5737.742188,-201.907715
-832.049805,-1282.911133,-2922.659668,-1673.341309,-2576.875244,-949.191162
1420.950195,491.088867,-2180.374268,3459.797607,-3699.775146,-742.519958
613.950195,1587.088867,-4803.764648,195.467896,-2099.390869,-668.826782
-355.049805,-1495.911133,-1542.320068,1752.268799,-2579.889160,-3676.854980
1689.950195,977.088867,-828.455261,-1623.481445,-4579.878906,-171.066833
111.950195,1319.088867,-2472.395020,3672.990234,-4727.963867,-3445.496338
-1697.049805,-1166.911133,2537.229492,1574.721802,-3964.684082,-3430.066162
1677.950195,-1107.911133,-15384.920898,-78620.257812,11088.865234,77188.250000
-420.049805,896.088867,-3570.213135,-1937.517578,1657.779907,1747.273193
-1603.049805,-1480.911133,-2311.104980,-5358.611328,-478.997620,427.546509
677.950195,-680.911133,527.288635,346.931976,-3791.645752,2583.079590
1499.950195,1605.088867,189.195129,-5397.255859,-4417.624512,2658.237305
-1352.049805,-1664.911133,-1391.355835,-1064.390991,-1669.312256,-87.918533
1256.950195,-169.911133,-1799.043945,-957.062012,234.263916,3745.836914
1231.950195,1708.088867,-1628.185791,-5495.885742,-1624.281372,-904.657043
-1295.049805,-86.911133,-5000.932617,-2848.292236,-4407.543457,1471.745972
1454.950195,-1669.911133,-1961.548706,-3525.781250,-3337.010498,-1619.287598
761.950195,1739.088867,3517.985840,-2530.419678,-6059.648438,546.564331
-1600.049805,-597.911133,998.992188,-369.827087,-254.766968,2104.706543
-514.049805,-1525.911133,798.397461,658.600952,375.465698,-1594.117798
1662.950195,836.088867,-936.138550,2545.487305,300.314331,-2542.242432
-1698.049805,-1051.911133,-3184.145752,-43.204956,-1715.146240,-2865.478027
-0.049805,-1253.911133,513.597656,-5677.641602,-7264.122070,-625.072754
1702.950195,1203.088867,-3357.480469,-994.139038,-5041.633301,3308.390625
-263.049805,1017.088867,-1681.676270,-611.336731,-1833.258667,1754.860474
524.950195,-1413.911133,2977.753906,-3096.476318,-649.450256,528.570068
1563.950195,1422.088867,106.634521,30.721313,-2003.370361,1304.105469
-772.049805,592.088867,75.031189,4195.349121,-3014.368164,764.154602
-1458.049805,-1619.911133,-1008.739258,-282.152283,-5771.329102,388.097839
994.950195,-325.911133,-3558.260254,75.404236,-5423.562012,2063.824707
-1198.049805,61.088867,963.625977,-4304.208496,-3977.544678,636.958313
-1133.049805,-1683.911133,-3567.362793,2107.509521,-3599.905762,50.923393
1373.950195,204.088867,1295.565308,1141.811035,-3248.691650,-3769.537109
891.950195,1760.088867,-729.268494,-4941.442871,-4953.697266,-787.294495
-645.049805,-440.911133,-3677.040283,1190.383057,-3723.160889,2461.559082
1625.950195,686.088867,-1523.709106,-2857.827881,-1872.098267,1070.385254
445.950195,1476.088867,3859.273926,-1093.985596,-1422.136230,-181.120850
-1666.049805,-922.911133,-933.944580,2711.698730,-2706.172852,-1167.583252
-149.049805,-1338.911133,3044.375000,403.050781,-3832.101562,-686.953125
-116.049805,1375.088867,3628.464844,-2440.242676,-3786.616211,-2052.229004
-1667.049805,-1301.911133,-2829.946777,1833.649902,-6028.431152,750.057617
296.950195,-959.911133,-2643.223633,-1402.397095,-1725.476074,246.560303
1627.950195,1473.088867,-2638.263428,172.856262,-1273.303955,523.818359
-1508.049805,729.088867,-120.719055,1800.907837,18.849365,-950.783691
912.950195,-470.911133,2377.687012,1863.246094,-3492.431396,-2188.640869
1391.950195,1678.088867,1752.759033,1077.607666,-2463.610596,-457.864899
-1075.049805,228.088867,1456.600586,540.865479,-1235.828613,-1432.111084
-1197.049805,-1690.911133,-3821.527344,129.694092,-4324.043945,-1027.052490
1017.950195,1691.088867,-3203.448975,5006.326172,-2547.175049,2222.733154
-1427.049805,-110.911133,-2297.187500,-3823.677734,122.853027,46.877441
-785.049805,-1633.911133,-4816.662109,-1540.362549,-4022.688477,2699.389648
1577.950195,553.088867,-514.467773,-499.652710,-4665.747070,2901.844727
-1614.049805,1561.088867,827.275391,1014.912109,-2135.035645,712.500793
-292.049805,-1418.911133,-1321.574707,-139.019836,-4107.996094,-258.978638
1692.950195,1021.088867,626.998047,-4664.969238,-7306.644531,-1808.793945
32.950195,1267.088867,-116.832764,-2042.227173,-3594.696045,-955.618652
-1685.049805,-1204.911133,-5276.469727,4399.934570,-7551.415039,-56.057220
1666.950195,1387.088867,780.567261,-2763.362793,-4496.473145,56.016602
-474.049805,863.088867,94.676544,-3238.544678,-5861.416992,-909.869263
-1576.049805,-1509.911133,-1842.152344,-993.127930,-3370.479004,-731.612427
731.950195,-611.911133,2153.818359,2082.894531,-4939.947266,-173.614258
-951.049805,1627.088867,-2295.545166,-1493.969482,-3622.678467,801.305908
-1233.049805,-1669.911133,-1935.708252,38.163147,-3320.311768,585.436768
1162.950195,-104.911133,247.269531,1715.833984,-5046.539062,-1835.405762
1147.950195,1699.088867,288.570312,540.755859,-2832.375000,37.425781
-1331.049805,-169.911133,1877.407471,-2370.496094,-4905.117188,-1533.315308
1527.950195,410.088867,-4571.297852,1921.805664,-6099.207031,-1699.438599
707.950195,1618.088867,-1928.751221,1438.116333,-3540.338623,2071.780273
-1592.049805,-646.911133,-2996.009766,1028.749146,-2681.436523,2583.243164
-452.049805,-1477.911133,-2914.455566,1392.001221,-1106.880981,-963.233276
197.950195,890.088867,-2148.982910,-566.555176,-3051.921387,749.786743
-1675.049805,-1076.911133,-613.653564,-4225.291992,-616.781799,711.246338
79.950195,-1190.911133,657.655945,2096.749512,-7199.586426,-94.542725
1762.950195,1294.088867,-1225.371948,-286.948608,-6029.684082,2428.408203
-331.049805,999.088867,-4337.275391,551.113403,-5891.875000,5624.059570
554.950195,-741.911133,-3162.019043,512.023499,-3749.595703,2393.914062
1531.950195,1567.088867,-5323.380371,-1685.795166,-4262.101562,-555.465088
