Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1686.027344,571.969727,0.000000,0,0.000000,0
1238.027344,1620.969727,270.704834,-1078.913086,2709.372070,-743.335938
-74.972656,629.969727,438.552856,2420.507080,1530.358276,2458.318848
-1321.972656,-761.030273,3214.384277,4775.092773,2521.258789,1298.677490
-842.972656,-1643.030273,5353.683594,2270.550293,1734.218018,1508.652344
629.027344,-268.030273,1672.377808,-584.074280,3325.999268,-896.711060
1584.027344,1171.969727,4252.881836,-1904.742920,555.940735,-1984.961426
1648.027344,1703.969727,2275.141846,-1054.908691,4121.256348,-47.941650
391.027344,1045.969727,559.127930,-1285.080444,1965.665527,628.138916
-1596.972656,-1479.030273,2013.336426,-3360.731445,1468.808105,419.268555
-1102.972656,-1595.030273,2578.370117,4030.344482,1368.782959,1464.104004
20.027344,-612.030273,3421.748047,-928.308105,-507.576965,-3251.653320
1357.027344,799.969727,4407.829102,1394.089600,1260.450073,3931.392822
816.027344,1656.969727,-94.223816,-2888.244385,-1299.237671,273.752167
-596.972656,117.969727,2494.894287,698.000244,1692.304565,2436.976562
-1585.972656,-1182.030273,360.497559,275.015015,1683.505737,1751.343384
-1478.972656,-1694.030273,121.332703,-2622.238281,2542.119629,1930.296143
-356.972656,-994.030273,394.828857,1081.826416,1677.449097,-2488.417236
1713.027344,1688.969727,441.770630,761.210876,180.696655,4300.378906
1181.027344,1493.969727,5045.513184,-1044.150513,2268.722900,-239.438965
-153.972656,592.969727,2201.062012,-2496.684082,313.152100,-2353.977295
-1358.972656,-829.030273,4078.588867,-1374.550781,1494.004883,-1568.776367
-782.972656,-1655.030273,2938.899902,1897.428955,2690.019043,-2460.965820
614.027344,-96.030273,4784.885742,-1402.370239,-2697.744385,711.731812
1665.027344,1228.969727,395.256836,-1319.864258,-299.282227,938.470459
1425.027344,1692.969727,2523.820068,298.746765,1232.507812,-1919.011475
320.027344,976.969727,5261.738281,-1420.912109,2077.192871,255.563782
-1811.972656,-1506.030273,3952.225098,-1526.001465,2032.830200,-1634.558472
-1156.972656,-1576.030273,926.981689,-5543.019531,-1271.605957,455.639069
177.027344,-550.030273,-921.863708,-541.533569,-506.200623,610.514465
1393.027344,854.969727,2146.348633,377.567627,3232.380615,1419.395996
