Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1.0,0.9996783784236503,0.0009959339447245,0.37861864078460034,0.06199105665400338
2.0,1.0035755646378786,0.0005661358051283108,0.5248424008213415,0.039288434384031255
3.0,1.0029413673970418,0.005457863416604719,0.7523024530928367,0.08686459414730661
4.0,0.9972580098097458,0.010186373731868498,0.28871089911906456,0.16212117316083172
5.0,1.0050598080411728,0.01206620301891186,0.5059808041172698,0.19203958548101818
6.0,0.9981367163337378,0.014697610578185399,0.2518556844735653,0.23391973751579412
6.6,1.004824673954063,0.017956691564479238,0.7503423055035063,0.28578962240634187
7.0,0.9988358250558937,0.023925630371015038,0.2213100676273005,0.3807882340136629
8.0,1.0038782434820792,0.025860530541329963,0.39948647531386383,0.41158312666316005
9.0,0.9968614170685612,0.022818598350656534,0.3449991334681579,0.3631692721935563
