Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-84.008789,-82.584961,0.000000,0,0.000000,0
-84.008789,-82.584961,977.454956,-4374.205078,499.515350,-4663.808594
-84.008789,-82.584961,-1245.261475,-796.907104,-1313.404175,-912.338135
-84.008789,-82.584961,1482.563965,-1043.754883,1619.402222,-1391.223145
-84.008789,-82.584961,-1739.308594,-4354.280273,-1470.441650,-4504.093262
-84.008789,-82.584961,-71760.554688,796.993713,-70330.828125,1507.465332
-84.008789,-82.584961,643.968323,2507.136475,908.520630,2874.610352
-84.008789,-82.584961,796.553955,-256.062408,858.309753,-320.849609
-84.008789,-82.584961,-1105.412842,380.418884,-1258.280396,787.028931
-84.008789,-82.584961,1577.093872,2050.434570,1741.614990,2386.138672
-84.008789,-82.584961,39247.421875,-9077.576172,37896.585938,-9900.628906
-84.008789,-82.584961,-1857.466797,-306.567566,-1798.716064,-505.239838
-84.008789,-82.584961,-459.636414,1262.845581,-487.190979,1235.328857
-84.008789,-82.584961,319.361267,497.993530,378.061279,161.568542
-84.008789,-82.584961,-1084.666138,889.348389,-1361.953857,143.343994
-84.008789,-82.584961,-9085.087891,21189.644531,-7824.665039,21357.015625
-84.008789,-82.584961,1527.229614,-1221.719116,1312.373047,-1210.217041
-84.008789,-82.584961,174.231720,-1555.267822,5.070190,-1309.386108
-84.008789,-82.584961,159.071609,-972.867249,151.833435,-716.808838
-84.008789,-82.584961,390.996521,-2318.372070,377.060181,-1544.216675
-84.008789,-82.584961,-6380.993164,-26207.957031,-7567.105957,-25384.046875
-84.008789,-82.584961,-75.243645,1884.124512,174.166779,1893.866333
-84.008789,-82.584961,128.664322,1171.176880,516.745667,913.986389
-84.008789,-82.584961,17.418015,1012.256104,124.331993,858.840515
-84.008789,-82.584961,642.418762,1730.338379,786.071960,1557.468018
-84.008789,-82.584961,9491.608398,19339.726562,10531.060547,17887.097656
-84.008789,-82.584961,-1112.033936,-1632.354614,-1362.393677,-1621.400391
-84.008789,-82.584961,-318.128387,-514.786865,-671.869873,-496.372894
-84.008789,-82.584961,-463.684082,-820.437988,-687.612915,-805.390991
-84.008789,-82.584961,-1576.273193,-345.767029,-1333.430908,-854.583862
-84.008789,-82.584961,-8238.375000,-7298.710449,-8953.285156,-5927.923340
-84.008789,-82.584961,1317.424316,630.463013,1470.681885,696.989197
-84.008789,-82.584961,312.834595,-56.919769,394.241821,140.031693
-84.008789,-82.584961,663.453003,502.370544,849.534851,543.779541
-84.008789,-82.584961,1643.240967,-521.458801,954.168823,144.568558
-84.008789,-82.584961,6297.068359,-56.786194,6632.696777,-856.947632
-84.008789,-82.584961,-850.616577,320.191101,-817.621399,167.338409
-84.008789,-82.584961,-188.477448,295.617279,-78.041016,75.227905
-84.008789,-82.584961,-517.938293,-210.758270,-548.713074,-138.880951
-84.008789,-82.584961,-786.934326,514.261719,-214.894379,90.663315
-84.008789,-82.584961,-3080.844238,-75.164062,-3279.820801,105.170624
-84.008789,-82.584961,170.225952,-376.482605,76.662399,-232.139374
-84.008789,-82.584961,-6.824211,-141.689575,-43.864132,32.583069
-84.008789,-82.584961,201.647461,165.778687,120.619705,-75.217026
-84.008789,-82.584961,-188.589874,69.587463,-182.728638,349.702484
-84.008789,-82.584961,-850.875244,3178.524902,-448.062988,3376.518555
-84.008789,-82.584961,479.684998,-314.306976,398.494995,-454.932465
-84.008789,-70.584961,239.477020,-152.722015,113.928101,-351.231934
-84.008789,-82.584961,100.197266,-323.359314,191.860550,-49.604027
-73.008789,-82.584961,554.636475,-817.493164,122.881149,-1118.120605
-84.008789,-82.584961,2648.874268,-4565.259766,1943.335449,-4788.393555
-84.008789,-66.584961,-719.301025,848.598267,-463.818665,1072.812988
-57.008789,-49.584961,-314.791168,273.556030,-193.302917,483.344360
-43.008789,-82.584961,-167.673187,365.528320,-238.564911,232.525879
-64.008789,-51.584961,-307.000427,1314.476318,142.014374,1483.194458
-71.008789,-23.584961,-927.069946,3794.083496,-106.974915,3714.078125
-30.008789,-45.584961,217.242752,-792.430908,42.411255,-1014.319641
-46.008789,-50.584961,59.535545,-244.652954,96.198265,-301.732361
-42.008789,-32.584961,-143.789719,-169.896454,-71.239029,-218.708923
-24.008789,7.415039,-121.046860,-1255.172852,-443.874390,-1112.987061
25.991211,-15.584961,-2172.300293,-2747.505371,-2855.167480,-2250.541748
28.991211,3.415039,650.007690,531.376587,624.643494,507.838623
29.991211,31.415039,321.865204,308.136719,193.394562,117.183128
45.991211,60.415039,594.448975,-31.130569,518.933411,122.254959
59.991211,47.415039,382.109741,712.121826,643.987915,436.695007
67.991211,50.415039,3535.664551,2254.057861,3931.960693,1539.024658
73.991211,68.415039,-1009.861633,-433.742706,-971.525391,-142.482590
75.991211,64.415039,-419.760071,-455.856628,-348.486877,-174.079208
88.991211,83.415039,-699.037109,65.201561,-634.536255,-116.120422
100.991211,76.415039,-370.304993,-104.561455,-528.595215,-31.139923
73.991211,61.415039,-2409.988037,-1771.566040,-2499.973633,-1170.656494
81.991211,73.415039,559.762817,378.890747,674.993958,134.947540
85.991211,70.415039,174.048553,429.391541,141.051392,300.771240
88.991211,61.415039,335.917694,-41.422035,264.895630,120.746010
88.991211,70.415039,163.770142,-194.397583,111.417244,-37.333511
75.991211,93.415039,461.096802,1046.789185,367.174072,735.870361
97.991211,96.415039,95.090088,-259.529449,-74.000092,-292.274597
121.991211,80.415039,61.705688,-187.629044,193.064056,-220.400284
93.991211,95.415039,88.375984,33.341576,165.727783,-32.148438
107.991211,127.415039,50.355671,116.959503,201.219696,38.307560
108.991211,132.415039,614.111938,-637.645020,650.441650,-553.612793
137.991211,116.415039,-315.790833,314.335266,-203.500397,450.667114
113.991211,102.415039,-38.714622,14.923492,-231.236908,-14.137617
108.991211,110.415039,-212.917999,87.335953,-182.020752,-17.343098
128.991211,119.415039,-128.758362,177.811829,-59.335621,-55.476257
127.991211,109.415039,-602.455750,911.613403,-376.973938,896.674805
106.991211,109.415039,142.869415,-666.946167,-48.566116,-630.869263
116.991211,142.415039,-116.000359,-93.781807,-106.136887,97.154633
123.991211,114.415039,126.744835,-317.406525,-164.865662,-108.286278
111.991211,144.415039,99.578712,-461.643188,-351.303864,-28.236050
120.991211,125.415039,213.230286,-1402.677124,-254.327469,-1340.355347
101.991211,127.415039,51.359039,989.595459,465.184296,811.425659
122.991211,125.415039,194.290314,271.794006,471.046295,97.338394
110.991211,125.415039,-42.402168,370.894379,467.745056,240.425079
62.991211,91.415039,-66.694664,543.127930,541.222229,176.295090
110.991211,90.415039,64.538177,1427.412109,538.720337,1249.232178
86.991211,87.415039,-147.717697,-939.479370,-620.387695,-837.652100
94.991211,81.415039,-173.101318,-338.581665,-517.937622,-346.039764
92.991211,98.415039,-75.963242,-106.321877,-535.820801,-113.469147
91.991211,98.415039,39.928204,-395.481110,-354.311218,-179.676926
73.991211,107.415039,-218.453445,-929.777100,-478.918060,-595.629028
71.991211,97.415039,218.825684,623.089600,465.005798,648.193298
88.991211,84.415039,101.617584,278.296051,276.706909,383.202850
173.991211,102.415039,300.424011,-175.663391,515.450562,-203.030106
217.991211,169.415039,22.748997,198.407761,110.154030,15.191608
229.991211,212.415039,288.231384,430.104187,336.679138,-16.871559
268.991211,266.415039,-225.383728,-366.931946,-225.720474,-406.663391
292.991211,272.415039,20.796768,-162.766739,-31.494301,-239.849640
337.991211,313.415039,-444.877716,135.028198,-517.638000,358.671082
341.991211,346.415039,-67.589172,-141.634552,-100.049667,56.487938
352.991211,365.415039,-180.332703,-322.370850,-191.034790,69.877502
368.991211,354.415039,104.674683,278.029785,92.246719,293.941650
376.991211,368.415039,-148.354340,21.546074,-52.975163,151.239349
350.991211,359.415039,309.028198,119.267632,444.365051,-211.110458
347.991211,369.415039,-2.430176,200.495514,214.825226,124.127373
367.991211,347.415039,-93.530975,495.330444,4.877594,335.316284
366.991211,314.415039,31.145611,-271.993042,-119.101326,-299.497284
347.991211,349.415039,170.233582,88.656548,38.083378,-207.671722
334.991211,358.415039,-50.778042,-227.086548,-245.135025,-3.588715
347.991211,349.415039,146.970352,-213.336700,-210.757278,-342.792053
357.991211,320.415039,288.103271,-617.747803,124.590385,-691.916382
308.991211,314.415039,-50.599972,317.075287,265.977386,308.379578
304.991211,320.415039,-82.687286,-74.798294,-10.801121,270.878540
315.991211,302.415039,0.243759,111.517319,70.832687,56.051834
312.991211,285.415039,-213.555481,147.392120,114.352043,310.760620
279.991211,260.415039,-184.622147,562.367981,-18.145203,694.796143
234.991211,267.415039,18.363232,-391.069092,-399.458374,-264.826294
219.991211,230.415039,20.926794,-42.283730,-33.609756,-220.546082
220.991211,196.415039,-177.530487,-14.712151,-35.523338,-23.079691
189.991211,173.415039,161.387909,-138.625656,-118.669662,-80.505615
90.991211,161.415039,-116.581894,-443.436401,-283.578644,-487.213867
68.991211,82.415039,-42.971222,356.553406,370.693909,172.970169
43.991211,32.415039,-52.924202,119.953346,98.425026,111.179703
-16.008789,-2.584961,278.126495,70.618301,39.851311,73.795441
-52.008789,-11.584961,-122.537231,251.320969,215.411606,-64.539963
-65.008789,-58.584961,286.609680,362.689819,471.156708,336.324127
-68.008789,-82.584961,54.255829,-140.226837,-184.462051,-70.556297
-84.008789,-82.584961,93.850128,-99.241005,-136.144241,-52.548462
-84.008789,-82.584961,-125.232948,-141.966675,19.690830,-187.433777
-84.008789,-78.584961,189.662048,-349.266449,-209.077530,26.478638
-84.008789,-82.584961,-138.402466,-284.692139,-334.711609,-285.210449
