Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-318.861328,-403.811523,0.000000,0,0.000000,0
84.138672,-322.811523,38843.140625,5930.514648,43118.007812,5963.975098
-279.861328,-301.811523,48604.785156,9294.519531,46138.812500,5279.288086
-296.861328,-299.811523,63216.562500,17662.839844,66980.429688,20202.714844
-229.861328,-248.811523,133392.281250,50433.640625,132814.531250,52524.128906
-198.861328,-211.811523,-353551.437500,-171164.781250,-355833.312500,-162861.656250
-199.861328,-183.811523,-68455.531250,-36289.800781,-65343.000000,-34837.156250
-168.861328,-129.811523,-34233.015625,-24656.140625,-35572.500000,-19298.080078
-157.861328,-145.811523,-23923.263672,-14474.226562,-23676.134766,-17673.193359
-113.861328,-122.811523,-15315.273438,-12608.501953,-12124.009766,-12513.316406
-551.861328,-97.811523,-10711.006836,-11788.908203,-8955.456055,-9517.096680
-66.861328,7.188477,-7704.330566,-8147.403809,-7044.484863,-12436.296875
-43.861328,-18.811523,-8604.533203,-6741.017090,-4454.323242,-8158.475586
-1.861328,-7.811523,-4332.765137,-9440.470703,-6488.769531,-7244.634277
23.138672,8.188477,-5674.911133,-8606.658203,-4139.787109,-11691.232422
54.138672,20.188477,-2857.369873,-3790.511719,-8008.305664,-6922.815430
45.138672,68.188477,-2777.738281,-3714.686768,-5372.034668,-7000.416992
-434.861328,70.188477,-5593.712891,-5343.027344,-3619.938721,-5369.042480
167.138672,124.188477,-2772.372803,-4277.306641,-2533.088867,-5243.647949
129.138672,135.188477,-2622.781250,-3681.615234,-5030.265625,-3949.031494
-365.861328,135.188477,-2966.669678,-3721.510254,-793.481384,-6242.210449
181.138672,183.188477,-1175.100952,-6210.443359,2104.745361,-1221.934570
825.138672,178.188477,1041.058960,762.641846,-6735.403320,-5552.932617
240.138672,220.188477,-877.556030,-1962.839966,-1324.609741,-7227.649902
270.138672,250.188477,440.470459,-4140.353027,-1049.773682,-2566.400879
222.138672,265.188477,-506.033936,-2783.026855,860.655884,2019.528320
289.138672,291.188477,1518.694336,-784.143799,1836.374023,-1230.051392
346.138672,343.188477,-491.291626,-587.328979,3133.287109,663.155029
346.138672,366.188477,-1291.011719,-3910.238770,801.824036,-3790.035156
398.138672,386.188477,788.431580,-3735.732666,-732.403137,-4900.036621
384.138672,393.188477,3239.258789,-134.325592,-2323.993652,-6311.448242
428.138672,402.188477,-419.657288,88.010864,-4888.467773,-4747.082031
460.138672,423.188477,596.333740,-5461.721680,188.623962,-5205.566406
455.138672,458.188477,605.690735,-123.041595,-2310.757568,-616.483521
473.138672,471.188477,-508.057129,-1447.498413,-4073.105469,-3651.260742
470.138672,478.188477,753.678833,-5744.959961,1107.247803,-687.763428
522.138672,535.188477,97.443024,-5746.530273,894.620789,-4575.859375
550.138672,522.188477,1035.739746,-345.552246,-4217.970703,-2059.979248
564.138672,544.188477,-923.014893,-5527.421875,-2137.702881,-2756.295654
810.138672,562.188477,-3681.397217,-937.610596,-262.592957,-1997.491089
599.138672,567.188477,-1106.620605,-6475.273926,1476.241821,-215.881317
617.138672,610.188477,4181.228516,1180.097412,-1971.970947,-475.584229
899.138672,634.188477,-619.191650,-1304.697754,-2139.339844,1159.948975
643.138672,654.188477,-520.964111,-1790.956055,1030.212646,-1524.448608
648.138672,642.188477,3420.687500,675.411255,2138.726318,-5910.766602
675.138672,644.188477,-55.913757,-1354.723022,-1639.182739,-2729.425781
741.138672,700.188477,1412.156494,-2809.483154,-1340.340820,-3283.828613
695.138672,779.188477,1238.387695,-323.963684,4004.664551,-205.574249
535.138672,710.188477,1360.795654,-1331.424561,1884.439941,-4446.263184
730.138672,712.188477,2861.357910,-4990.270508,-433.681061,-3701.679932
737.138672,729.188477,-3578.074219,-2265.661621,-234.556396,-4840.538086
750.138672,779.188477,2086.666016,-5086.434570,1227.373413,1133.269653
759.138672,754.188477,-654.241577,-1729.252197,337.426880,-567.587524
519.138672,721.188477,-1004.097656,-2890.194580,-1541.876953,-2104.664062
774.138672,782.188477,463.361206,-3978.564209,-2734.365723,-1629.461914
753.138672,263.188477,1348.066528,-1209.230347,-3405.043457,-46.576294
791.138672,791.188477,2427.512451,-3932.980957,-2850.701416,1231.690674
800.138672,790.188477,361.399628,-1257.980957,-2441.756104,466.667725
809.138672,237.188477,469.946045,-3186.081543,1092.924072,-1213.500610
1015.138672,805.188477,-1819.975220,-2011.519775,-1209.319092,-2779.037598
823.138672,815.188477,341.117615,-2607.488281,4057.401855,-2093.777344
840.138672,823.188477,-1570.051636,-3321.557129,-332.952393,1439.995972
872.138672,822.188477,-265.856262,-1084.707031,3541.728516,-2194.985596
824.138672,829.188477,-4676.577148,-2292.885742,-3675.850586,-2040.650635
775.138672,824.188477,-2381.315918,-922.239441,-1718.235229,-2373.806641
821.138672,823.188477,-1567.961060,-4653.531250,-341.281982,-558.851440
