Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-424.050781,-391.894531,0.000000,0,0.000000,0
-425.050781,-439.894531,-26356.066406,-5415.601562,-30663.820312,-8038.741211
-445.050781,-444.894531,-32175.378906,-12733.095703,-32382.013672,-14342.285156
-466.050781,-490.894531,-38973.218750,-26989.933594,-39441.164062,-25979.380859
-489.050781,-483.894531,-54737.851562,-53434.351562,-55858.121094,-52192.625000
-520.050781,-503.894531,-125214.437500,-152596.781250,-131325.812500,-149530.796875
-207.050781,-537.894531,207675.343750,292092.812500,208428.203125,291235.875000
-542.050781,-589.894531,50835.781250,84517.984375,50960.621094,82490.187500
-568.050781,-538.894531,23933.746094,49072.207031,27481.285156,48656.070312
-613.050781,-612.894531,16063.048828,36426.910156,18333.605469,36545.281250
-629.050781,-695.894531,10248.108398,30549.382812,12628.257812,32468.949219
-707.050781,-631.894531,10178.754883,24715.621094,9132.997070,23659.996094
-666.050781,-647.894531,7572.121094,20252.431641,6178.804199,19236.734375
-685.050781,-647.894531,5775.088379,19036.800781,8239.183594,19793.830078
-616.050781,-304.894531,4154.421875,18514.378906,3804.867676,14350.529297
-736.050781,-711.894531,719.899231,18468.876953,4249.643555,16827.101562
-728.050781,-688.894531,6851.130859,14630.667969,2824.806641,17265.607422
-744.050781,-738.894531,1849.104004,15776.529297,-853.500366,12766.998047
-750.050781,-749.894531,1646.734131,12470.414062,2628.626221,13893.615234
-776.050781,-806.894531,6115.248535,9537.671875,1780.529907,13249.307617
-773.050781,-765.894531,2909.865967,11465.693359,4455.991699,7697.678711
-776.050781,-785.894531,619.055847,8611.765625,1083.127441,8670.455078
-888.050781,-795.894531,279.128357,12122.547852,488.939697,12938.931641
-808.050781,-839.894531,298.738098,10017.618164,568.024902,11129.328125
-821.050781,-817.894531,57.453308,8753.617188,1757.052490,8347.734375
-824.050781,-820.894531,594.883728,7888.127441,852.376160,7206.265625
-794.050781,-825.894531,-2389.945557,9306.041992,181.942261,7752.298828
-831.050781,-845.894531,-334.741272,9652.869141,436.478455,7915.705078
-815.050781,-833.894531,-113.922668,9442.986328,-1085.406006,7943.124023
-317.050781,-887.894531,-762.458252,8389.781250,-776.596680,6609.587402
-888.050781,-825.894531,3850.336670,9007.275391,-627.228882,4436.502441
-850.050781,-853.894531,2395.093262,7559.483398,576.146484,8100.942871
-837.050781,-830.894531,1886.875244,6408.245117,-1256.457153,7446.333984
-834.050781,-817.894531,2628.772705,5771.056641,-3411.819336,4044.258057
-849.050781,-828.894531,-1434.782227,5639.562500,1549.144531,7395.865234
-833.050781,-839.894531,293.852631,2979.866211,459.817383,5376.488770
-813.050781,-822.894531,-1530.041992,3724.517090,-1700.359619,8250.053711
-813.050781,-814.894531,-195.393066,4525.078125,-926.299561,6087.360840
-824.050781,-797.894531,329.176147,4056.998535,-2730.554199,1939.058838
-808.050781,-823.894531,540.809875,5853.368164,-148.339661,5798.516602
-785.050781,-820.894531,-1983.458130,4000.935547,4451.989258,6106.843750
-772.050781,-806.894531,273.097412,3656.101074,-1615.149902,6668.784180
-787.050781,-796.894531,451.493652,4727.444824,-2627.158936,4545.197266
-752.050781,-778.894531,236.221558,6779.601562,381.832764,6342.253906
-755.050781,-759.894531,187.770203,6788.721680,846.086182,2772.228516
-740.050781,-722.894531,-2252.677246,3079.199463,-1886.574585,5093.656250
-711.050781,-727.894531,-27.090363,1934.786743,-830.216431,1799.239746
-712.050781,-698.894531,-244.759277,2972.027832,-3564.437500,4790.250000
-696.050781,-719.894531,1760.186768,1453.638916,1181.844238,5878.095703
-670.050781,-679.894531,535.348572,4100.560059,1315.201416,4799.321777
-661.050781,-653.894531,-768.014343,4628.311523,-3399.077148,7183.319336
-643.050781,-645.894531,-946.695740,4997.804688,-1133.922852,4359.671875
-632.050781,-621.894531,-1115.433350,3498.723633,935.377625,3446.431641
-610.050781,-596.894531,-2134.417725,-777.323242,1970.494141,4064.816162
-566.050781,-573.894531,-988.086304,5543.122070,-2872.867920,5168.172363
-578.050781,-572.894531,-1483.874512,2455.960205,-1801.044922,7524.257324
-545.050781,-558.894531,596.168701,5022.558594,3429.767090,4843.789551
-523.050781,-554.894531,-3800.318604,5171.669434,-702.866272,1581.926392
-477.050781,-534.894531,-3705.460449,2290.086914,-1655.114258,1453.075684
-454.050781,-482.894531,663.159790,3587.216064,620.054565,6930.078125
-446.050781,-445.894531,-468.394653,4100.044922,410.945679,3178.990723
-413.050781,-413.894531,-785.265869,4465.166992,-2245.876953,4179.850586
-390.050781,-410.894531,-1075.221802,4769.945312,-2144.648682,3641.688721
-353.050781,-360.894531,1034.490234,4227.695312,-493.367065,4728.510742
263.949219,-340.894531,-73.081543,4431.917480,2954.117188,397.958496
-308.050781,-736.894531,-2189.566162,2636.787109,-3027.666260,2961.977051
-316.050781,-278.894531,-222.969849,1421.092896,-2962.815918,4437.797363
-228.050781,-263.894531,3396.263184,1883.205444,3004.768555,6249.148438
-225.050781,-229.894531,-695.520020,2303.373535,413.227417,23.890869
-184.050781,-205.894531,998.785400,659.102295,-1378.791992,1297.246948
-168.050781,-186.894531,-3315.502441,3947.898926,1273.480957,4242.005859
-145.050781,-176.894531,-1750.061890,2478.453857,-1084.776855,4018.228027
-104.050781,-99.894531,-2777.028564,1702.788574,-935.783325,1686.875732
-69.050781,-81.894531,-578.362122,3327.041016,-1150.842773,-453.388336
-40.050781,-46.894531,2754.718262,1873.259033,1105.279541,4484.988281
-42.050781,-23.894531,1209.040771,4293.857910,3229.359131,2085.036133
-441.050781,-14.894531,1331.093506,2201.040527,-860.907837,1298.956055
66.949219,76.105469,-2435.215332,4284.508789,-923.491455,3961.713867
39.949219,23.105469,-2494.387207,1867.756226,-919.008545,32.828064
98.949219,74.105469,439.186890,-1113.804321,-542.506104,4058.534180
151.949219,107.105469,1618.209473,2174.922852,-947.538452,2846.840332
171.949219,159.105469,260.743500,1473.243530,-2436.562500,2622.460693
190.949219,191.105469,-1390.149170,2915.886719,624.084839,2487.248047
197.949219,202.105469,-3597.855469,171.493164,3599.622070,4660.329102
