Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-390.732422,-514.859375,0.000000,0,0.000000,0
-356.732422,-434.859375,1544.736084,-5406.829102,2710.234863,-3717.608398
15.267578,-346.859375,5658.254883,-6358.478516,-690.176819,-4459.055664
-297.732422,-304.859375,1921.242554,-7004.414062,1388.671265,-7507.181641
-210.732422,-273.859375,2286.143555,-11502.921875,3626.037598,-12811.817383
-192.732422,-198.859375,5482.794434,-21144.117188,3560.586914,-19228.296875
-547.732422,-172.859375,7342.479004,-29441.023438,4905.139160,-34971.851562
-111.732422,-137.859375,13789.623047,-61799.835938,10678.873047,-62266.949219
-82.732422,-108.859375,60991.562500,-405631.312500,51201.750000,-407103.562500
-4.732422,-29.859375,-17433.609375,109423.468750,-13052.469727,104839.687500
-1.732422,10.140625,-9754.127930,48002.609375,-4041.567383,50741.312500
61.267578,45.140625,-2684.149902,32556.566406,-4131.179688,38858.402344
98.267578,71.140625,-1265.002441,25567.589844,364.408813,26161.582031
150.267578,117.140625,-1912.101318,23966.238281,-4635.396484,22219.853516
380.267578,169.140625,-2265.594727,16219.679688,-5368.526367,14816.070312
236.267578,186.140625,-6389.187500,15752.266602,90.262390,14018.296875
273.267578,269.140625,1479.383301,13664.960938,-1436.234009,13809.906250
298.267578,295.140625,-427.125244,14452.154297,-2443.448975,11279.943359
380.267578,342.140625,-1795.954834,12700.197266,1417.173340,10031.075195
390.267578,384.140625,-2534.421875,10071.384766,718.329773,11990.765625
424.267578,361.140625,-930.748047,5588.951172,1936.677979,10296.734375
463.267578,433.140625,60.174255,9442.316406,-1133.990601,9777.000000
523.267578,487.140625,-2019.012451,10128.953125,-1178.161377,10782.267578
476.267578,531.140625,2635.964844,6378.504883,512.337524,14057.174805
573.267578,559.140625,192.022827,9292.634766,-1625.119385,7136.472656
603.267578,600.140625,-1384.044922,9176.054688,-3738.823242,8488.164062
633.267578,669.140625,-2605.468262,8081.071777,-312.037170,7647.219238
641.267578,665.140625,-2947.840820,6370.440430,1812.318115,8062.027344
643.267578,680.140625,-397.950928,4778.172363,-363.517090,5077.378418
732.267578,706.140625,1498.483521,7800.859375,-2236.415771,7379.330566
730.267578,685.140625,-3678.695801,3080.871582,-1449.136230,5282.226074
764.267578,741.140625,1035.702759,5135.027344,-3276.510498,6283.382324
764.267578,776.140625,1935.241699,2670.121094,-301.499512,2121.445801
796.267578,798.140625,-3317.597900,6769.241699,-2320.056152,8187.113770
823.267578,789.140625,1195.268799,3024.303955,-3045.123535,5397.623535
828.267578,818.140625,782.065186,5730.875977,513.167114,3241.846924
851.267578,857.140625,-535.429321,5135.423828,-2421.953613,4335.482910
846.267578,856.140625,-2696.383545,4183.779297,1606.161255,3411.866699
869.267578,851.140625,-253.458374,4732.462402,-260.147400,7922.753906
876.267578,838.140625,43.673584,4532.353516,-395.212036,8954.789062
862.267578,858.140625,1103.614868,9908.597656,950.755615,3418.497559
855.267578,856.140625,411.982971,5894.212891,-730.523438,4922.640625
854.267578,875.140625,-1073.205078,2483.167725,-5717.897461,3825.579834
871.267578,858.140625,2346.193359,4782.829102,462.979492,4105.310547
873.267578,874.140625,-1691.785156,5846.437500,-2308.138428,1091.966553
842.267578,834.140625,-6370.146973,4522.113770,-2807.009766,4300.153320
943.267578,842.140625,-1984.898438,408.070068,-453.465088,4143.958984
831.267578,829.140625,2027.284180,7430.167969,-869.007568,1574.435547
816.267578,927.140625,3140.573730,5760.242188,1363.695435,-1075.252441
789.267578,800.140625,-1760.752930,4469.177734,-631.298889,6142.965820
764.267578,760.140625,383.842651,297.837036,-1962.872437,3718.201172
680.267578,717.140625,-313.524841,990.504456,1665.776978,3537.467285
716.267578,758.140625,-399.249207,3016.536133,-2905.665039,3115.752930
691.267578,708.140625,-1006.598755,7145.390625,-1645.093262,2887.368896
668.267578,678.140625,-742.203735,2707.645020,-411.029114,4159.291992
651.267578,808.140625,-1336.145020,3898.959717,2138.798828,309.444946
594.267578,641.140625,974.552002,2050.194824,-3608.312744,1407.020752
609.267578,299.140625,407.687866,757.500977,-656.707581,3395.845215
545.267578,582.140625,1105.140137,4539.240723,-3464.028809,4390.916992
508.267578,523.140625,305.294250,5119.986328,1150.516479,5568.962891
471.267578,493.140625,-1360.065308,5253.113281,-970.225403,-401.052124
466.267578,459.140625,746.366760,250.492859,-1151.311646,4966.784668
