Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
831.560547,559.192383,0.000000,0,0.000000,0
850.560547,837.192383,-41830.781250,4184.256836,-42604.906250,4151.209961
810.560547,806.192383,-43518.992188,10041.773438,-45448.957031,9558.702148
823.560547,808.192383,-61153.851562,15827.688477,-60881.468750,20062.828125
782.560547,823.192383,-131405.125000,48335.843750,-136177.281250,53716.687500
776.560547,779.192383,359337.187500,-163135.750000,355719.000000,-165022.968750
779.560547,644.192383,66885.484375,-33697.738281,59576.601562,-32145.953125
758.560547,777.192383,32969.785156,-23461.609375,30873.105469,-19066.203125
778.560547,755.192383,22056.453125,-15796.846680,19877.837891,-17568.677734
719.560547,748.192383,10894.187500,-7549.643555,12492.289062,-11038.011719
729.560547,522.192383,12948.311523,-10746.230469,13433.654297,-14292.156250
724.560547,712.192383,10940.500000,-9277.494141,8635.271484,-10047.692383
691.560547,682.192383,9523.730469,-8563.834961,7151.350586,-5610.423340
658.560547,639.192383,4363.020996,-7550.233398,5275.412598,-8320.754883
638.560547,645.192383,6678.747559,-5847.190430,2716.073730,-7288.833984
626.560547,632.192383,4806.488770,-5577.974609,2919.992676,-3316.229980
580.560547,629.192383,2312.893311,-2678.864014,4476.291016,-8094.358887
600.560547,251.192383,1100.871826,-5387.712891,1903.005737,-3810.013184
557.560547,591.192383,2961.874023,-3261.589111,410.881470,-4761.073730
533.560547,567.192383,2650.635010,-2948.215820,2990.645264,-2955.323730
586.560547,535.192383,1276.278809,-2519.295654,5600.846680,1077.356445
525.560547,530.192383,1357.505371,-2673.214355,2401.612305,-4707.984375
491.560547,357.192383,3285.340820,-4425.349121,176.423035,-5736.476074
468.560547,459.192383,-373.377441,-3994.859863,-1016.820618,-2318.675293
420.560547,474.192383,3874.349121,-3334.908203,5227.950684,-5416.904297
424.560547,437.192383,1199.508301,-1517.034424,2817.043945,-5322.276855
407.560547,410.192383,5004.018555,-1127.564941,3458.579590,-2869.151855
382.560547,419.192383,1915.027466,-3298.344482,3828.504883,-1984.597900
340.560547,351.192383,-1122.853760,-4135.053223,931.039429,-4086.629883
326.560547,218.192383,1418.213623,-2932.530273,-1485.733398,-4943.518066
302.560547,315.192383,2739.839355,-4211.468750,2916.348877,-3570.415039
220.560547,304.192383,5438.966797,-3071.133789,2248.010254,-1973.175049
260.560547,250.192383,955.136292,-2118.760254,1613.551514,-1698.545898
213.560547,283.192383,-1017.389587,-2721.246582,-562.773804,360.721741
222.560547,225.192383,130.256958,-721.481323,1674.140625,-267.998718
829.560547,211.192383,-119.324890,-4976.456543,533.808228,-3314.187500
163.560547,172.192383,2275.550781,-4845.420898,148.963303,-1767.649414
132.560547,69.192383,-156.288208,-3710.917480,100.259888,170.794006
105.560547,101.192383,2767.441650,302.382629,512.274902,-98.315002
89.560547,50.192383,3260.135254,-2679.157959,4538.804688,-6144.557129
7.560547,100.192383,2991.778320,-3591.744629,-759.627075,-3628.861084
36.560547,42.192383,-156.376770,-3920.874756,123.026001,-2645.207031
9.560547,28.192383,1631.645630,509.783386,-152.273071,-1791.476929
-8.439453,19.192383,-1110.451782,-495.830078,992.017090,-1976.222412
-28.439453,-40.807617,538.882324,-1989.886841,3937.574463,-1194.099487
-32.439453,-61.807617,-1126.336670,-1074.359253,-411.659180,-2892.021973
-106.439453,-90.807617,-897.771606,335.042236,2153.315918,-3533.034180
-123.439453,-106.807617,2694.628906,-3128.882812,-486.995392,-123.085098
-139.439453,-122.807617,791.405151,-114.202148,-2133.087891,-1441.204102
-176.439453,-97.807617,2138.831787,-261.365479,1311.386230,-2686.715820
-216.439453,-198.807617,410.558289,-311.397827,328.633728,275.487762
-196.439453,-218.807617,-1449.548340,-182.220459,1040.454346,-954.834961
-234.439453,-234.807617,4959.674805,887.815674,-2.907471,-493.502319
-270.439453,-250.807617,-127.481445,1147.526123,-2276.329346,-1452.297485
-284.439453,-283.807617,1372.463501,-172.935760,2056.135010,-3243.588867
-318.439453,-295.807617,429.844482,-3470.763672,-1288.483887,-1466.042725
-342.439453,-224.807617,-2352.986328,1174.408936,-2886.873535,2422.870361
-350.439453,-305.807617,228.393311,-1373.280273,1045.707031,-2095.387695
-399.439453,-380.807617,623.091553,-1030.924927,-2116.967285,-5203.663574
-420.439453,-746.807617,2397.991699,568.384338,1409.046631,-4169.344727
-443.439453,-410.807617,1367.227783,-1262.836426,-454.668701,-2686.997070
-450.439453,-441.807617,-403.882690,2211.839111,1761.266968,1687.428711
-501.439453,-410.807617,170.164856,-1861.222412,-506.903625,-1851.478638
-489.439453,-602.807617,-112.391113,-2656.304199,1021.923706,-5021.648926
-485.439453,-533.807617,1125.618774,-2163.125000,-419.522034,80.072021
-521.439453,-531.807617,-1730.774536,-4495.707031,5045.476562,-1186.401123
-544.439453,-536.807617,189.096558,776.308655,1372.243408,-1623.333130
-575.439453,-537.807617,-46.137421,-2714.339844,-2551.948242,1413.342529
-570.439453,-874.807617,2188.455078,206.554199,293.997559,-1664.429199
-605.439453,-602.807617,-1581.687256,-3062.770020,-470.330627,-459.913605
-606.439453,-581.807617,-2928.213867,-3871.760498,871.447754,-1574.596436
-630.439453,-617.807617,-769.330139,2137.512939,-339.645142,80.626892
-652.439453,-813.807617,-857.583496,-1433.261475,-659.099609,-1551.730713
-665.439453,-634.807617,-3013.818848,-399.571777,-423.966858,-4735.875000
-696.439453,-652.807617,987.352112,-2403.454834,1573.949219,435.298096
-686.439453,-685.807617,330.915771,1458.474121,2877.123047,1080.054199
-709.439453,-713.807617,1692.415649,1261.927734,896.831665,-1667.114746
-731.439453,-698.807617,1563.907227,-4431.950195,-1134.416138,853.005066
-739.439453,-704.807617,-1457.269897,-1079.416016,739.534058,-2114.043945
-703.439453,-749.807617,-1089.728271,156.766357,563.702087,1504.661133
-875.439453,-745.807617,-1726.134399,-463.065063,2170.940430,-1158.524902
-301.439453,-680.807617,2781.187500,-477.581543,205.938354,382.784058
-788.439453,-761.807617,1109.993896,677.333496,-762.124451,-576.801514
-795.439453,-776.807617,1743.758545,-23.742676,-1323.449951,-1757.195801
-792.439453,-787.807617,-1372.886353,2409.774902,-2988.451904,940.455933
-812.439453,-783.807617,319.461853,747.687378,2995.121582,-488.973450
-820.439453,-761.807617,3246.805664,-2910.136230,-1036.042847,-3666.714111
-813.439453,-762.807617,-326.214111,1542.837646,-4552.619141,-3121.697754
-814.439453,-807.807617,-163.613770,1261.782959,2166.290771,532.835388
-875.439453,-822.807617,311.767700,617.790649,-392.281158,-1323.252930
-875.439453,-874.807617,1555.658691,-31.362122,3017.025391,772.823425
-827.439453,-792.807617,1229.300903,-4240.486328,-2936.965332,-1767.251709
-793.439453,-677.807617,122.907349,-3250.648926,364.113037,-2472.957031
-819.439453,-867.807617,723.811157,-577.759338,4244.857910,-4677.142578
-824.439453,-826.807617,968.559937,816.561768,1939.577148,-244.804871
-841.439453,-826.807617,-1707.713135,-385.108154,1390.870972,1068.639282
