Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
175.113281,154.241211,0.000000,0,0.000000,0
164.113281,172.241211,2583.157471,9778.560547,4464.915039,10177.820312
190.113281,215.241211,5429.225098,39925.058594,2793.215820,34709.250000
206.113281,212.241211,-39854.429688,-443496.937500,-39942.937500,-440190.750000
183.113281,193.241211,-1984.343506,-41684.320312,-3798.657715,-43082.648438
348.113281,245.241211,-435.854034,-21899.298828,-728.429077,-24452.888672
254.113281,237.241211,-3473.105957,-20889.160156,-2776.878906,-19284.011719
272.113281,267.241211,-590.711914,-15406.068359,-451.926270,-11664.306641
328.113281,282.241211,2591.811035,-10911.265625,103.345276,-11985.470703
286.113281,288.241211,607.123291,-10607.525391,925.803528,-8186.752930
267.113281,314.241211,1755.322266,-7674.901367,1101.614746,-9173.316406
225.113281,329.241211,2105.296875,-4833.130371,-2822.968018,-5266.229492
557.113281,339.241211,-2178.811768,-7730.822754,2474.751465,-8044.386719
365.113281,333.241211,-1352.836914,-8799.050781,2308.093262,-4827.914062
376.113281,362.241211,2255.011719,-6500.571777,-619.029907,-7026.018555
371.113281,369.241211,-47.022400,-10039.818359,-839.288086,-4289.980469
409.113281,377.241211,419.437988,-8108.879883,1463.559326,-2186.645752
418.113281,395.241211,2469.549805,-1389.605591,-437.258301,-6603.304688
435.113281,429.241211,-1494.540527,-3624.818848,1810.244141,-6193.222168
434.113281,429.241211,427.723633,-5492.749023,-1404.872437,-4356.409180
451.113281,445.241211,653.603699,-2103.668457,3979.927734,-2461.787109
465.113281,459.241211,-2743.811523,-4792.455078,-686.283264,-6704.328125
494.113281,463.241211,715.939453,-3954.746582,1514.832886,-2612.376953
501.113281,475.241211,-93.953369,-3211.290771,-208.383148,-3742.249512
508.113281,506.241211,-1475.596680,-3031.490723,321.684814,-2324.962402
509.113281,504.241211,3096.186035,-2733.149414,1348.638550,-4007.360352
525.113281,515.241211,271.019287,-3379.225098,-1705.498291,-1318.585449
536.113281,511.241211,-161.902466,-1216.358887,-137.819214,-5625.813477
587.113281,314.241211,2352.332520,-2489.539551,773.497803,-1191.537354
547.113281,554.241211,-1009.797852,-2636.023926,955.920166,-3915.880371
581.113281,556.241211,-2118.561523,-1425.035400,89.753235,-3155.775146
593.113281,574.241211,150.233276,-3121.947021,2419.123535,-3484.832520
603.113281,601.241211,1316.707520,-3661.086426,-2422.316650,-315.593811
611.113281,603.241211,531.826904,-2741.835449,3254.324219,-1138.230225
632.113281,603.241211,3444.413330,-5069.652344,-774.474365,-4895.209473
644.113281,631.241211,1981.475586,-1488.184814,1451.840820,-1478.414551
641.113281,641.241211,-1983.042725,-57.356628,-1225.772949,-1786.728638
606.113281,651.241211,854.955017,-3544.985596,769.291260,-2102.120361
672.113281,664.241211,-1815.244629,-3102.506592,-305.642334,-1290.793213
667.113281,681.241211,-2942.554688,-3750.390625,-3399.545410,-2495.811523
