Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
591.121094,329.378906,0.000000,0,0.000000,0
813.121094,685.378906,7487.146484,1039.422363,11829.682617,1604.605347
1010.121094,965.378906,8214.363281,871.632385,10527.476562,4404.977539
1211.121094,1131.378906,6442.870605,963.245361,10078.952148,-1497.766846
1501.121094,1293.378906,9083.776367,-1154.594727,7125.787109,49.005127
1587.121094,1541.378906,8943.267578,-373.900696,9707.879883,529.726624
1646.121094,1624.378906,9201.373047,1833.896729,9234.968750,963.308594
1688.121094,1666.378906,7011.092285,2756.079590,8130.937988,2464.857910
1679.121094,1676.378906,7402.481934,957.226990,12383.291016,460.029297
1552.121094,1606.378906,9509.184570,3016.219727,10723.786133,4587.899414
1472.121094,1505.378906,8279.750000,3162.668945,10282.195312,5172.973633
1312.121094,1371.378906,9524.779297,5321.033203,8950.055664,8743.029297
1140.121094,1320.378906,4611.194336,3984.744141,9979.499023,6237.150391
757.121094,1083.378906,10165.537109,6446.807617,9125.388672,6753.543457
517.121094,628.378906,11322.642578,7478.628906,7160.865234,8665.302734
297.121094,392.378906,12072.185547,12230.542969,15137.925781,10792.814453
-16.878906,169.378906,9847.585938,13427.092773,14031.601562,8195.152344
-196.878906,-82.621094,11756.978516,9977.869141,12311.085938,10013.255859
-663.878906,-564.621094,14083.404297,13103.765625,12381.478516,12582.697266
-876.878906,-798.621094,13892.867188,16898.552734,14373.702148,12553.736328
-1540.878906,-985.621094,15569.831055,16071.949219,16764.232422,16272.194336
-1268.878906,-1175.621094,15773.275391,17325.304688,17363.886719,15065.732422
-1542.878906,-1309.621094,19998.585938,25670.546875,21759.128906,24796.000000
-1617.878906,-1581.621094,22328.664062,26508.912109,26533.445312,27114.498047
-1679.878906,-1650.621094,27157.152344,36500.007812,29865.171875,32868.593750
-1694.878906,-1695.621094,31486.732422,42269.136719,29688.113281,43799.210938
-1681.878906,-1703.621094,39066.367188,61886.015625,47764.945312,60250.339844
-1547.878906,-1593.621094,62962.617188,98735.859375,68624.640625,92390.703125
-929.878906,-1512.621094,139202.843750,240600.062500,161088.468750,225161.171875
-1296.878906,-1364.621094,-374004.625000,-673945.125000,-431905.937500,-636007.875000
-1132.878906,-1188.621094,-73778.281250,-142955.640625,-86202.023438,-136967.500000
-680.878906,-1037.621094,-39398.722656,-79386.984375,-45690.921875,-76371.703125
-492.878906,-601.621094,-26156.796875,-56857.195312,-33666.375000,-53855.707031
-241.878906,-417.621094,-18535.539062,-39864.289062,-25822.968750,-41473.199219
-15.878906,-143.621094,-17699.855469,-38648.437500,-22624.253906,-36319.000000
250.121094,107.378906,-12319.852539,-28582.324219,-16889.470703,-31889.785156
696.121094,1040.378906,-12089.732422,-27008.890625,-14026.640625,-26323.833984
910.121094,799.378906,-8437.433594,-25831.960938,-12416.834961,-22557.912109
1460.121094,1004.378906,-6252.166992,-21397.873047,-10615.900391,-15383.968750
1280.121094,1201.378906,-7128.612793,-21736.960938,-7363.921387,-20019.781250
1540.121094,1326.378906,-5766.718750,-18873.226562,-10013.083984,-20607.183594
1620.121094,1588.378906,-3205.010498,-17203.617188,-6790.654297,-15811.568359
1676.121094,1652.378906,-4045.379395,-17389.931641,-4947.488770,-14411.772461
1713.121094,1678.378906,-3774.089844,-15433.183594,-7962.696289,-13655.066406
1645.121094,1686.378906,-7188.573730,-14729.242188,-5349.945801,-12828.455078
1508.121094,1578.378906,-3714.466797,-14836.707031,-4633.407227,-13856.466797
1397.121094,1613.378906,-4091.499023,-13367.134766,-4320.801758,-12919.578125
1252.121094,1611.378906,-2227.971191,-9847.459961,-657.765747,-11627.236328
1077.121094,1163.378906,-5136.849121,-12516.637695,-4503.270020,-14390.458984
652.121094,966.378906,-4777.744629,-11526.345703,-4441.625000,-7748.502930
428.121094,523.378906,-1720.546387,-11601.599609,-1457.023560,-9864.210938
427.121094,299.378906,-2134.092529,-7572.235352,-1384.094849,-9969.847656
-91.878906,74.378906,-4921.437500,-9445.216797,-3575.041504,-12931.753906
-298.878906,-189.621094,-4367.123047,-9165.308594,-1128.872437,-10470.611328
-358.878906,-660.621094,-1004.082764,-6890.294922,-2312.459961,-6443.337891
