Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
172.759766,-297.273438,0.000000,0,0.000000,0
835.759766,639.726562,1360.224609,221.131226,-646.496338,-391.014038
428.759766,782.726562,-155.442169,-394.292480,-367.386597,-1002.505615
-547.240234,-78.273438,21.633972,249.556259,162.423248,404.958191
-28.240234,-828.273438,-362.463348,-432.819580,-1759.525146,793.922546
796.759766,483.726562,1750.880127,-2128.213379,885.524902,-1560.614624
603.759766,857.726562,-99.112701,-62.350098,-588.061523,2049.422363
-390.240234,119.726562,-492.680603,-1607.912354,-1195.880615,470.200531
-867.240234,-760.273438,132.407730,-135.857330,238.959000,790.665894
629.759766,295.726562,-289.838776,-908.611328,-2349.897705,140.615265
738.759766,878.726562,-1867.187500,383.027252,-1191.880127,-1093.359619
-181.240234,345.726562,-1808.816650,771.104614,-1636.862183,-805.668091
-867.240234,-639.273438,-3673.233887,-1061.847900,-3947.039551,-2531.115234
577.759766,-772.273438,99401.062500,22210.093750,100287.093750,19245.726562
831.759766,826.726562,2615.284180,2512.755127,3503.488281,1535.240967
30.759766,531.726562,2694.097412,-650.623230,765.295166,1195.738403
-801.240234,-473.273438,1093.704468,1001.449707,811.494873,1489.067261
-738.240234,-857.273438,999.323181,1456.745728,-155.614746,743.568665
863.759766,749.726562,1940.011230,539.558716,444.058594,-1384.855103
241.759766,681.726562,1895.963257,-9.437683,1643.344971,-266.199219
-725.240234,-272.273438,253.714233,-48.297974,2278.188965,-781.611450
-741.240234,-867.273438,1171.340576,268.148987,1818.594360,-566.962219
863.759766,-349.273438,1132.602783,-33.767426,-1285.458984,-669.821411
426.759766,777.726562,1525.605713,271.060822,-1116.303589,196.233337
-547.240234,-65.273438,412.980194,621.978882,536.477539,496.974304
-832.240234,-836.273438,222.025513,297.144348,1526.066650,-319.979675
-28.240234,-529.273438,1738.478027,200.688141,1215.107788,-735.784668
607.759766,862.726562,782.902832,-631.649536,288.717773,1270.287354
-341.240234,156.726562,1402.420654,1204.036865,-640.734741,603.780334
-515.240234,-746.273438,2919.183594,732.464844,14.304779,-1283.573975
-243.240234,-685.273438,-67.386902,37.426788,1273.210938,-1131.186523
746.759766,219.726562,-90.735779,-494.315979,1048.928711,-830.146484
-180.240234,345.726562,1313.544678,821.079468,-626.741455,1707.980225
-851.240234,-616.273438,1361.424805,2410.169189,62.612793,1949.895630
-451.240234,-798.273438,2925.438477,45.736267,203.949890,920.223938
511.759766,52.726562,538.526245,-933.050842,-257.155273,139.465363
44.759766,533.726562,1925.196411,501.453308,-2902.722168,-319.713196
-784.240234,-457.273438,197.833069,1133.803223,-353.905182,467.161804
-620.240234,-899.273438,1949.083008,-526.356262,1705.185059,1024.119995
366.759766,-163.273438,922.066101,-157.580048,555.779663,-373.369019
248.759766,762.726562,2945.501709,1259.430420,111.098022,747.566467
-675.240234,-290.273438,1101.494141,-3651.742188,-973.223145,406.774780
-752.240234,-880.273438,3152.017090,-130.904846,-76.712921,-1935.831055
185.759766,-357.273438,-107.111816,517.366211,89.011505,-2679.245361
851.759766,600.726562,894.904297,-1060.871094,927.197266,-709.607422
-547.240234,-28.273438,772.409790,0.586792,511.801758,-622.826416
-870.240234,-820.273438,2140.448242,1117.941772,-13.136353,-120.000977
-80.240234,-538.273438,-639.334412,-1448.718628,-2331.504883,590.337402
795.759766,433.726562,-375.759583,-818.136597,2779.445068,-840.694153
-359.240234,860.726562,1095.810791,-572.887573,1768.165771,608.664673
-861.240234,-739.273438,964.174927,-488.737854,-700.243164,-235.864502
73.759766,-691.273438,-935.409729,-704.226074,1399.052124,971.847351
