Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-48.183594,214.145508,0.000000,0,0.000000,0
-523.183594,-299.854492,-199.290894,-126.608826,-1116.622925,869.235596
-820.183594,-730.854492,2085.242432,955.387756,353.764343,-368.458069
-836.183594,-873.854492,-808.757874,1180.402588,-2238.243652,1227.682495
-67.183594,-727.854492,921.892883,1982.098022,-2770.803955,-1755.192261
432.816406,189.145508,1420.277466,399.059570,-2999.641602,-1477.025024
790.816406,607.145508,5387.583008,7053.597656,-6648.561523,-5131.107910
851.816406,864.145508,-4885.316406,-7386.451660,3601.826660,8387.808594
664.816406,773.145508,-2759.571777,-2102.120117,397.043396,3708.618164
-343.183594,-81.854492,-1396.742920,-1322.796753,915.435425,1268.384033
-738.183594,-679.854492,-2878.372314,-2307.733398,1348.556641,1570.082031
-843.183594,-836.854492,-973.900879,1454.101562,-446.466553,1729.611084
-848.183594,-808.854492,-2706.401367,845.950562,873.428833,653.312500
237.816406,-511.854492,-229.039841,782.380615,-286.723511,1596.165039
663.816406,459.145508,-1208.695068,49.895073,1069.668823,2210.210938
827.816406,808.145508,-1304.788940,-893.794678,2264.601074,-628.833862
766.816406,832.145508,-1129.280640,464.115326,-59.742981,891.465881
376.816406,586.145508,-2612.808594,-491.900818,-1010.402832,1625.425659
-625.183594,-383.854492,1035.294312,-689.029663,678.978516,285.246368
-855.183594,-766.854492,-1572.449463,1606.745117,-243.277557,664.174744
-789.183594,-866.854492,-1083.052490,1633.578125,1152.731445,-580.321899
-468.183594,-696.854492,-498.766022,655.991882,377.989471,1895.528320
349.816406,-210.854492,996.387268,-604.857971,1252.118896,211.276855
807.816406,692.145508,-595.514404,-1668.834106,-1594.758545,1070.114502
826.816406,871.145508,-2489.027344,631.187378,-2973.085938,2146.827881
541.816406,734.145508,-825.064941,347.765381,-1869.760620,-593.818115
78.816406,332.145508,937.659241,1018.762573,-256.086853,2142.755127
-776.183594,-639.854492,-1194.278564,-1536.465820,-1340.248047,553.113342
-849.183594,-879.854492,-2532.715820,-75.985291,405.306488,949.245239
-563.183594,-769.854492,-275.328796,405.481110,-1643.008301,2349.189453
-194.183594,-433.854492,121.795074,834.480469,-1580.763306,-544.304565
724.816406,84.145508,758.457275,1366.905029,-1746.770752,-883.110107
