Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
598.207031,667.847656,0.000000,0,0.000000,0
244.207031,396.847656,145.927521,-1668.365723,1818.099365,-1748.482666
-101.792969,159.847656,757.897156,2025.327637,1867.354980,130.977905
-429.792969,-269.152344,475.806458,-459.524811,744.424622,-81.286804
-842.792969,-568.152344,625.654053,102.026978,915.430603,1143.265625
-851.792969,-862.152344,-201.157166,-963.690979,1429.811035,1462.185547
-739.792969,-885.152344,2519.314453,-618.839111,-760.409302,109.684662
-515.792969,-638.152344,1697.974121,1222.703003,437.237244,155.388672
-137.792969,-351.152344,1333.270996,516.478333,3784.019043,814.318787
457.207031,326.847656,-1600.946533,-1863.211426,1390.058105,1225.215576
720.207031,618.847656,939.267517,-931.575073,2575.513916,-460.258087
829.207031,802.847656,-189.182312,-1203.484985,1130.299194,1372.720825
846.207031,889.847656,1920.039795,445.825348,2910.932617,38.494751
445.207031,801.847656,-1227.828857,1620.987305,1101.008057,625.814331
87.207031,288.847656,1169.074219,274.989929,3807.953613,443.304901
-256.792969,-57.152344,1133.749756,-796.837646,-383.275635,2234.250732
-540.792969,-389.152344,1744.559204,-541.010437,2052.935791,-83.487915
-425.792969,-660.152344,2163.489990,668.545898,3530.526123,289.401489
-841.792969,-916.152344,611.744019,-795.037720,1463.524414,-1086.980103
-668.792969,-788.152344,1410.445801,697.594727,55.255554,2605.778564
-386.792969,-541.152344,-681.995728,1092.989990,3865.115234,1522.900635
-53.792969,-221.152344,845.417114,884.627380,1430.724731,587.342041
604.207031,-335.152344,1390.027100,714.399231,4004.761475,403.527222
799.207031,695.847656,-146.165527,1878.083008,2669.943604,77.316406
858.207031,859.847656,-1020.968018,-1130.283081,2559.967041,2242.889160
798.207031,860.847656,-554.196533,-1068.843994,3157.767578,2078.940430
609.207031,732.847656,86.254517,-1079.685303,1295.427612,174.233139
-17.792969,165.847656,362.019470,-2562.525879,1917.112793,-387.791809
-358.792969,-187.152344,568.698181,548.434631,2899.167236,1163.748535
-650.792969,-509.152344,1803.054688,2852.597656,4458.168945,886.516602
-826.792969,-751.152344,-1191.592407,3561.638184,1301.701660,619.402039
-787.792969,-852.152344,-1242.258057,1825.613281,5017.615723,785.067688
