Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-662.754883,-856.006836,0.000000,0,0.000000,0
620.245117,-38.006836,-1034.798584,-212.329651,1672.887573,538.266418
552.245117,861.993164,-1146.058838,1974.187744,-2067.801270,-1736.669067
-657.754883,-20.006836,-3429.247559,-568.725708,1699.786743,-761.139221
685.245117,-853.006836,1010.562134,75.696594,-973.760925,17.794830
478.245117,859.993164,-850.482178,1779.459717,-150.502121,187.474564
-724.754883,-163.006836,-856.462463,324.453979,-1694.279785,-1119.401123
-426.754883,-749.006836,-133.651459,156.018768,-2244.775879,366.611938
755.245117,228.993164,263.478394,1204.058105,-654.182617,-1463.609619
-862.754883,-311.006836,-1725.777100,-655.442505,-793.691650,-1681.353271
-319.754883,-804.006836,34.678238,597.156067,-197.383362,76.959976
811.245117,362.993164,-235.169449,964.754639,155.886688,-689.872192
247.245117,1093.993164,-874.489136,1229.181030,1631.528320,-2113.656982
-171.754883,-435.006836,-3252.596680,467.766663,-1704.733643,-876.568604
862.245117,450.993164,328.549835,837.299805,1635.865845,-1396.671875
102.245117,695.993164,379.691223,1479.348755,2142.937256,-2241.638184
-912.754883,-548.006836,-29.965149,1572.722534,-223.679688,-3960.004639
-34.754883,-660.006836,-1751.420532,2551.027832,-330.356445,-3737.994629
-28.754883,618.993164,1083.982544,3533.202393,-250.671875,-5049.357910
-907.754883,-647.006836,-2766.203125,7430.153320,273.027710,-6804.171387
79.245117,-561.006836,-3359.540527,15511.796875,3050.598633,-16917.000000
861.245117,682.993164,6493.446289,-30804.046875,-6819.688965,30829.876953
-893.754883,592.993164,2582.339600,-7553.759277,-4382.623047,7883.258789
224.245117,-449.006836,-675.716858,-3881.882324,-3137.373291,4246.543945
830.245117,763.993164,2250.498535,-2495.965820,-758.957092,4671.937500
-290.754883,491.993164,-1185.442139,-2960.570801,-2173.800781,2190.976807
-801.754883,-801.006836,-198.789276,-1729.475342,-2221.722656,3215.043945
785.245117,811.993164,678.505188,-178.405396,-2248.687256,-160.000122
-426.754883,341.993164,-473.756744,-2564.864014,-1019.872620,1295.988037
-746.754883,-823.006836,1459.883057,-340.721283,-2541.618652,-676.008301
575.245117,-198.006836,1134.023926,-1941.879761,257.371094,1325.367188
-513.754883,864.993164,-1488.218140,-1182.583374,-248.165649,-227.871704
-667.754883,-916.006836,-243.286591,-943.519043,-1772.218506,1900.656250
572.245117,-49.006836,1299.979004,-1714.671387,-3059.677246,1859.432861
621.245117,858.993164,-1281.715332,-1223.622559,-2310.525879,488.754517
-623.754883,-265.006836,1009.873291,-1872.198242,-1393.932617,-1000.255859
466.245117,61.993164,-658.545898,-1499.726562,-3018.367188,-283.453125
514.245117,856.993164,3632.395020,224.689453,1774.038086,3090.723633
-703.754883,-145.006836,-1538.713623,-1091.387695,-700.606445,663.304932
-337.754883,-858.006836,-634.685791,-1204.152832,160.417480,954.090515
404.245117,205.993164,203.371948,-284.552734,-2939.282715,-740.159424
-776.754883,-260.006836,-842.357300,-63.889404,-1606.032471,-1197.952148
